module	resId	lang	flags	mods	key	keyCode	cmdId	cmdIdSigned	postable
StarCraft.exe	0x71	1033	0x07	Shift	0	0x30	0x9BDC	-25636	no
StarCraft.exe	0x71	1033	0x07	Shift	1	0x31	0x9BD3	-25645	no
StarCraft.exe	0x71	1033	0x07	Shift	2	0x32	0x9BD4	-25644	no
StarCraft.exe	0x71	1033	0x07	Shift	3	0x33	0x9BD5	-25643	no
StarCraft.exe	0x71	1033	0x07	Shift	4	0x34	0x9BD6	-25642	no
StarCraft.exe	0x71	1033	0x07	Shift	5	0x35	0x9BD7	-25641	no
StarCraft.exe	0x71	1033	0x07	Shift	6	0x36	0x9BD8	-25640	no
StarCraft.exe	0x71	1033	0x07	Shift	7	0x37	0x9BD9	-25639	no
StarCraft.exe	0x71	1033	0x07	Shift	8	0x38	0x9BDA	-25638	no
StarCraft.exe	0x71	1033	0x87	Shift	9	0x39	0x9BDB	-25637	no
Local.dll	0x65	1033	0x02	-	'+'	0x2B	0x9C78	-25480	yes
Local.dll	0x65	1033	0x02	-	'-'	0x2D	0x9C7A	-25478	yes
Local.dll	0x65	1033	0x0B	Ctrl	0	0x30	0x9BE6	-25626	no
Local.dll	0x65	1033	0x13	Alt	0	0x30	0x9BFA	-25606	no
Local.dll	0x65	1033	0x0B	Ctrl	1	0x31	0x9BDD	-25635	no
Local.dll	0x65	1033	0x13	Alt	1	0x31	0x9BF1	-25615	no
Local.dll	0x65	1033	0x0B	Ctrl	2	0x32	0x9BDE	-25634	no
Local.dll	0x65	1033	0x13	Alt	2	0x32	0x9BF2	-25614	no
Local.dll	0x65	1033	0x0B	Ctrl	3	0x33	0x9BDF	-25633	no
Local.dll	0x65	1033	0x13	Alt	3	0x33	0x9BF3	-25613	no
Local.dll	0x65	1033	0x0B	Ctrl	4	0x34	0x9BE0	-25632	no
Local.dll	0x65	1033	0x13	Alt	4	0x34	0x9BF4	-25612	no
Local.dll	0x65	1033	0x0B	Ctrl	5	0x35	0x9BE1	-25631	no
Local.dll	0x65	1033	0x13	Alt	5	0x35	0x9BF5	-25611	no
Local.dll	0x65	1033	0x0B	Ctrl	6	0x36	0x9BE2	-25630	no
Local.dll	0x65	1033	0x13	Alt	6	0x36	0x9BF6	-25610	no
Local.dll	0x65	1033	0x0B	Ctrl	7	0x37	0x9BE3	-25629	no
Local.dll	0x65	1033	0x13	Alt	7	0x37	0x9BF7	-25609	no
Local.dll	0x65	1033	0x0B	Ctrl	8	0x38	0x9BE4	-25628	no
Local.dll	0x65	1033	0x13	Alt	8	0x38	0x9BF8	-25608	no
Local.dll	0x65	1033	0x0B	Ctrl	9	0x39	0x9BE5	-25627	no
Local.dll	0x65	1033	0x13	Alt	9	0x39	0x9BF9	-25607	no
Local.dll	0x65	1033	0x02	-	'='	0x3D	0x9C78	-25480	yes
Local.dll	0x65	1033	0x0B	Ctrl	C	0x43	0x9C64	-25500	no
Local.dll	0x65	1033	0x13	Alt	C	0x43	0x9C64	-25500	no
Local.dll	0x65	1033	0x13	Alt	H	0x48	0x9C74	-25484	no
Local.dll	0x65	1033	0x13	Alt	L	0x4C	0x9C77	-25481	no
Local.dll	0x65	1033	0x0B	Ctrl	M	0x4D	0x9C66	-25498	no
Local.dll	0x65	1033	0x13	Alt	M	0x4D	0x9C7B	-25477	no
Local.dll	0x65	1033	0x13	Alt	O	0x4F	0x9C6F	-25489	no
Local.dll	0x65	1033	0x0B	Ctrl	Q	0x51	0x9C6D	-25491	no
Local.dll	0x65	1033	0x13	Alt	Q	0x51	0x9C6D	-25491	no
Local.dll	0x65	1033	0x0B	Ctrl	S	0x53	0x9C67	-25497	no
Local.dll	0x65	1033	0x13	Alt	S	0x53	0x9C76	-25482	no
Local.dll	0x65	1033	0x0B	Ctrl	R	0x52	0x9C75	-25483	no
Local.dll	0x65	1033	0x03	-	F1	0x70	0x9C74	-25484	yes
Local.dll	0x65	1033	0x03	-	F2	0x71	0x9C7F	-25473	yes
Local.dll	0x65	1033	0x07	Shift	F2	0x71	0x9C7C	-25476	no
Local.dll	0x65	1033	0x03	-	F3	0x72	0x9C80	-25472	yes
Local.dll	0x65	1033	0x07	Shift	F3	0x72	0x9C7D	-25475	no
Local.dll	0x65	1033	0x03	-	F4	0x73	0x9C81	-25471	yes
Local.dll	0x65	1033	0x07	Shift	F4	0x73	0x9C7E	-25474	no
Local.dll	0x65	1033	0x0B	Ctrl	X	0x58	0x9C6B	-25493	no
Local.dll	0x65	1033	0x13	Alt	X	0x58	0x9C6B	-25493	no
Local.dll	0x65	1033	0x82	-	'_'	0x5F	0x9C7A	-25478	yes
Local.dll	0x66	1033	0x0B	Ctrl	0	0x30	0x9BE6	-25626	no
Local.dll	0x66	1033	0x13	Alt	0	0x30	0x9BFA	-25606	no
Local.dll	0x66	1033	0x0B	Ctrl	1	0x31	0x9BDD	-25635	no
Local.dll	0x66	1033	0x13	Alt	1	0x31	0x9BF1	-25615	no
Local.dll	0x66	1033	0x0B	Ctrl	2	0x32	0x9BDE	-25634	no
Local.dll	0x66	1033	0x13	Alt	2	0x32	0x9BF2	-25614	no
Local.dll	0x66	1033	0x0B	Ctrl	3	0x33	0x9BDF	-25633	no
Local.dll	0x66	1033	0x13	Alt	3	0x33	0x9BF3	-25613	no
Local.dll	0x66	1033	0x0B	Ctrl	4	0x34	0x9BE0	-25632	no
Local.dll	0x66	1033	0x13	Alt	4	0x34	0x9BF4	-25612	no
Local.dll	0x66	1033	0x0B	Ctrl	5	0x35	0x9BE1	-25631	no
Local.dll	0x66	1033	0x13	Alt	5	0x35	0x9BF5	-25611	no
Local.dll	0x66	1033	0x0B	Ctrl	6	0x36	0x9BE2	-25630	no
Local.dll	0x66	1033	0x13	Alt	6	0x36	0x9BF6	-25610	no
Local.dll	0x66	1033	0x0B	Ctrl	7	0x37	0x9BE3	-25629	no
Local.dll	0x66	1033	0x13	Alt	7	0x37	0x9BF7	-25609	no
Local.dll	0x66	1033	0x0B	Ctrl	8	0x38	0x9BE4	-25628	no
Local.dll	0x66	1033	0x13	Alt	8	0x38	0x9BF8	-25608	no
Local.dll	0x66	1033	0x0B	Ctrl	9	0x39	0x9BE5	-25627	no
Local.dll	0x66	1033	0x13	Alt	9	0x39	0x9BF9	-25607	no
Local.dll	0x66	1033	0x0B	Ctrl	C	0x43	0x9C64	-25500	no
Local.dll	0x66	1033	0x13	Alt	C	0x43	0x9C64	-25500	no
Local.dll	0x66	1033	0x13	Alt	H	0x48	0x9C74	-25484	no
Local.dll	0x66	1033	0x13	Alt	L	0x4C	0x9C77	-25481	no
Local.dll	0x66	1033	0x0B	Ctrl	M	0x4D	0x9C66	-25498	no
Local.dll	0x66	1033	0x13	Alt	M	0x4D	0x9C7B	-25477	no
Local.dll	0x66	1033	0x13	Alt	O	0x4F	0x9C6F	-25489	no
Local.dll	0x66	1033	0x0B	Ctrl	Q	0x51	0x9C6D	-25491	no
Local.dll	0x66	1033	0x13	Alt	Q	0x51	0x9C6D	-25491	no
Local.dll	0x66	1033	0x0B	Ctrl	S	0x53	0x9C67	-25497	no
Local.dll	0x66	1033	0x13	Alt	S	0x53	0x9C76	-25482	no
Local.dll	0x66	1033	0x0B	Ctrl	R	0x52	0x9C75	-25483	no
Local.dll	0x66	1033	0x03	-	F1	0x70	0x9C74	-25484	yes
Local.dll	0x66	1033	0x03	-	F2	0x71	0x9C7F	-25473	yes
Local.dll	0x66	1033	0x07	Shift	F2	0x71	0x9C7C	-25476	no
Local.dll	0x66	1033	0x03	-	F3	0x72	0x9C80	-25472	yes
Local.dll	0x66	1033	0x07	Shift	F3	0x72	0x9C7D	-25475	no
Local.dll	0x66	1033	0x03	-	F4	0x73	0x9C81	-25471	yes
Local.dll	0x66	1033	0x07	Shift	F4	0x73	0x9C7E	-25474	no
Local.dll	0x66	1033	0x0B	Ctrl	X	0x58	0x9C6B	-25493	no
Local.dll	0x66	1033	0x93	Alt	X	0x58	0x9C6B	-25493	no
Local.dll	0x67	1033	0x09	Ctrl	M	0x4D	0x9C66	-25498	no
Local.dll	0x67	1033	0x89	Ctrl	S	0x53	0x9C67	-25497	no
