label	targetAddr	byteOffset	elemIndex	fromAddr	refType	opIndex	isPrimary	funcEntry	funcName	instruction
cardState	0x0068C140	0	0	0x0048CA10	READ	1	true	0x0048CA10	FUN_0048ca10	MOV EAX,[0x0068c140]
cardState	0x0068C140	0	0	0x0048E3C0	READ	1	true	0x0048E310	FUN_0048e310	MOV EAX,[0x0068c140]
cardState	0x0068C140	0	0	0x004C37B3	READ	1	true	0x004C3780	FUN_004c3780	MOV ESI,dword ptr [0x0068c140]
cardState	0x0068C140	0	0	0x004C37D0	WRITE	0	true	0x004C3780	FUN_004c3780	MOV dword ptr [0x0068c140],EDI
cardState	0x0068C140	0	0	0x004F38D1	WRITE	0	true	0x004F37C0	FUN_004f37c0	MOV dword ptr [0x0068c140],ESI
cardState	0x0068C140	0	0	0x004F31D0	READ	1	true	0x004F31D0	FUN_004f31d0	MOV EAX,[0x0068c140]
cardState	0x0068C144	4	1	0x004F31FE	READ	1	true	0x004F31D0	FUN_004f31d0	MOV AL,[0x0068c144]
cardState	0x0068C144	4	1	0x004F3073	READ	0	true	0x004F3040	FUN_004f3040	CMP byte ptr [0x0068c144],CL
cardState	0x0068C144	4	1	0x004F30B0	READ	1	true	0x004F3040	FUN_004f3040	MOV AL,[0x0068c144]
cardState	0x0068C144	4	1	0x004F30F3	READ	0	true	0x004F3040	FUN_004f3040	CMP byte ptr [0x0068c144],0x2
cardState	0x0068C144	4	1	0x004F3135	READ	0	true	0x004F3040	FUN_004f3040	CMP byte ptr [0x0068c144],CL
cardState	0x0068C144	4	1	0x004F317E	READ	1	true	0x004F3040	FUN_004f3040	MOV AL,[0x0068c144]
cardState	0x0068C144	4	1	0x004F32D9	READ	1	true	0x004F32D0	FUN_004f32d0	MOV AL,[0x0068c144]
cardState	0x0068C144	4	1	0x004F3416	WRITE	0	true	0x004F32D0	FUN_004f32d0	MOV byte ptr [0x0068c144],0x0
cardState	0x0068C144	4	1	0x004F347F	WRITE	0	true	0x004F32D0	FUN_004f32d0	MOV byte ptr [0x0068c144],0x1
cardState	0x0068C144	4	1	0x004F3495	WRITE	0	true	0x004F32D0	FUN_004f32d0	MOV byte ptr [0x0068c144],0x2
cardState	0x0068C144	4	1	0x004F34AC	WRITE	0	true	0x004F32D0	FUN_004f32d0	MOV byte ptr [0x0068c144],BL
cardState	0x0068C144	4	1	0x004F34BF	WRITE	0	true	0x004F32D0	FUN_004f32d0	MOV byte ptr [0x0068c144],0x2
cardState	0x0068C144	4	1	0x004F34D4	WRITE	0	true	0x004F32D0	FUN_004f32d0	MOV byte ptr [0x0068c144],BL
cardState	0x0068C144	4	1	0x004F34DC	WRITE	0	true	0x004F32D0	FUN_004f32d0	MOV byte ptr [0x0068c144],0x4
cardState	0x0068C144	4	1	0x004F3510	READ	1	true	0x004F32D0	FUN_004f32d0	MOV AL,[0x0068c144]
cardState	0x0068C144	4	1	0x004F3283	READ	1	true	0x004F3280	FUN_004f3280	MOVZX EAX,byte ptr [0x0068c144]
cardState	0x0068C144	4	1	0x004F3562	READ	1	true	0x004F3540	FUN_004f3540	MOV AL,[0x0068c144]
cardState	0x0068C144	4	1	0x004F370D	READ	1	true		(none)	MOV AL,[0x0068c144]
cardState	0x0068C144	4	1	0x004F35E9	WRITE	0	true	0x004F35D0	FUN_004f35d0	MOV byte ptr [0x0068c144],0x0
cardState	0x0068C148	8	2	0x00459AA8	READ	1	true	0x004599A0	FUN_004599a0	MOV EBX,dword ptr [0x0068c148]
cardState	0x0068C148	8	2	0x00458D68	READ	1	true	0x00458D50	FUN_00458d50	MOV EAX,[0x0068c148]
cardState	0x0068C148	8	2	0x004591E1	READ	1	true	0x004591D0	FUN_004591d0	MOV EAX,[0x0068c148]
cardState	0x0068C148	8	2	0x00459785	READ	1	true	0x00459770	FUN_00459770	MOV EDI,dword ptr [0x0068c148]
cardState	0x0068C148	8	2	0x0045979B	READ	1	true	0x00459770	FUN_00459770	MOV EDX,dword ptr [0x0068c148]
cardState	0x0068C148	8	2	0x00458868	READ	1	true	0x00458850	FUN_00458850	MOV EDI,dword ptr [0x0068c148]
cardState	0x0068C148	8	2	0x00458CF1	READ	1	true	0x00458CF0	FUN_00458cf0	MOV ESI,dword ptr [0x0068c148]
cardState	0x0068C148	8	2	0x00458D0A	WRITE	0	true	0x00458CF0	FUN_00458cf0	MOV dword ptr [0x0068c148],EDI
cardState	0x0068C148	8	2	0x00459D66	WRITE	0	true	0x00459B90	FUN_00459b90	MOV dword ptr [0x0068c148],ESI
cardState	0x0068C148	8	2	0x00458B47	READ	1	true	0x00458B30	FUN_00458b30	MOV EDX,dword ptr [0x0068c148]
cardState	0x0068C148	8	2	0x00459961	READ	1	true		(none)	MOV EAX,[0x0068c148]
cardState	0x0068C14C	12	3	0x004599F8	READ	0	true	0x004599A0	FUN_004599a0	CMP word ptr [0x0068c14c],CX
cardState	0x0068C14C	12	3	0x00459A01	WRITE	0	true	0x004599A0	FUN_004599a0	MOV word ptr [0x0068c14c],CX
