label	targetAddr	byteOffset	elemIndex	fromAddr	refType	opIndex	isPrimary	funcEntry	funcName	instruction
statBtnBinFmt	0x005049F8	0	0	0x00459C67	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x5049f8
cmdIconsGrp	0x00504A24	0	0	0x00459C07	DATA	1	true	0x00459B90	FUN_00459b90	MOV ECX,0x504a24
cmdBtnsGrpFmt	0x00504A40	0	0	0x00459BC7	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x504a40
cmdBtnsDir	0x00504A50	0	0	0x00459BC2	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x504a50
tIconPcx	0x00504A0C	0	0	0x00459C25	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x504a0c
tIconPcx	0x00504A0C	0	0	0x00459C3D	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x504a0c
statCmdCpp	0x00504A6C	0	0	0x00459BED	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x504a6c
statCmdCpp	0x00504A6C	0	0	0x00459C00	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x504a6c
statCmdCpp	0x00504A6C	0	0	0x00459D48	DATA	0	true	0x00459B90	FUN_00459b90	PUSH 0x504a6c
statCmdCpp	0x00504A6C	0	0	0x004596F7	DATA	0	true	0x004596A0	FUN_004596a0	PUSH 0x504a6c
statCmdCpp	0x00504A6C	0	0	0x00459749	DATA	0	true	0x004596A0	FUN_004596a0	PUSH 0x504a6c
statCmdCpp	0x00504A6C	0	0	0x00458D18	DATA	0	true	0x00458CF0	FUN_00458cf0	PUSH 0x504a6c
statCmdCpp	0x00504A6C	0	0	0x00458D38	DATA	0	true	0x00458CF0	FUN_00458cf0	PUSH 0x504a6c
