label	targetAddr	byteOffset	elemIndex	fromAddr	refType	opIndex	isPrimary	funcEntry	funcName	instruction
techAvailable	0x0058CE24	0	0	0x004CCCED	WRITE	0	true	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techAvailable	0x0058CE24	0	0	0x004CCCE8	DATA	1	true	0x004CCC80	FUN_004ccc80	MOV EDI,0x58ce24
techAvailable	0x0058CE24	0	0	0x004CE8AC	DATA	1	true	0x004CE8A0	FUN_004ce8a0	MOV AL,byte ptr [ECX + EAX*0x8 + 0x58ce24]
techAvailable	0x0058CE28	4	1	0x004CCCED	WRITE	0	false	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techAvailable	0x0058CF2B	263	65	0x004CB73B	WRITE	0	false	0x004CB670	FUN_004cb670	MOV byte ptr [ESI + ECX*0x1 + 0x58ce24],DL
techAvailable	0x0058CF2B	263	65	0x004CB778	WRITE	0	true	0x004CB670	FUN_004cb670	MOV byte ptr [ESI + ECX*0x1 + 0x58ce24],DL
techAvailable	0x0058CF3F	283	70	0x004CB8DB	WRITE	0	true	0x004CB7D0	FUN_004cb7d0	MOV byte ptr [ESI + ECX*0x1 + 0x58ce24],DL
techAvailable	0x0058CF42	286	71	0x004CB73B	WRITE	0	false	0x004CB670	FUN_004cb670	MOV byte ptr [ESI + ECX*0x1 + 0x58ce24],DL
techAvailable	0x0058CF43	287	71	0x004CB73B	WRITE	0	true	0x004CB670	FUN_004cb670	MOV byte ptr [ESI + ECX*0x1 + 0x58ce24],DL
techResearched	0x0058CF44	0	0	0x004CCD07	WRITE	0	true	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techResearched	0x0058CF44	0	0	0x00432540	DATA	1	true	0x00432530	FUN_00432530	MOV CL,byte ptr [EDX + ECX*0x8 + 0x58cf44]
techResearched	0x0058CF44	0	0	0x004548FC	DATA	1	true	0x004548B0	FUN_004548b0	MOV AL,byte ptr [ECX + EAX*0x8 + 0x58cf44]
techResearched	0x0058CF44	0	0	0x00454940	DATA	0	true	0x004548B0	FUN_004548b0	MOV byte ptr [EAX + EDX*0x8 + 0x58cf44],BL
techResearched	0x0058CF44	0	0	0x0046D755	DATA	1	true	0x0046D610	FUN_0046d610	MOV AL,byte ptr [EAX + EDX*0x8 + 0x58cf44]
techResearched	0x0058CF44	0	0	0x0047B3DF	DATA	1	true	0x0047B3C0	FUN_0047b3c0	MOV DL,byte ptr [ECX + EDX*0x8 + 0x58cf44]
techResearched	0x0058CF44	0	0	0x0047B404	DATA	0	true	0x0047B3C0	FUN_0047b3c0	MOV byte ptr [ECX + EDX*0x8 + 0x58cf44],AL
techResearched	0x0058CF44	0	0	0x004CCD02	DATA	1	true	0x004CCC80	FUN_004ccc80	MOV EDI,0x58cf44
techResearched	0x0058CF44	0	0	0x004CE85C	DATA	1	true	0x004CE850	FUN_004ce850	MOV AL,byte ptr [ECX + EAX*0x8 + 0x58cf44]
techResearched	0x0058CF48	4	1	0x004CCD07	WRITE	0	false	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techResearched	0x0058CF56	18	4	0x004CB89E	WRITE	0	true	0x004CB7D0	FUN_004cb7d0	MOV byte ptr [ESI + ECX*0x1 + 0x58ce24],DL
techResearched	0x0058CF64	32	8	0x004E2C60	DATA	1	true	0x004E2C00	FUN_004e2c00	MOV CL,byte ptr [EDX + ECX*0x8 + 0x58cf44]
techResearched	0x0058D04B	263	65	0x004CB798	WRITE	0	false	0x004CB670	FUN_004cb670	MOV byte ptr [ESI + ECX*0x1 + 0x58cf44],DL
techResearched	0x0058D062	286	71	0x004CB798	WRITE	0	false	0x004CB670	FUN_004cb670	MOV byte ptr [ESI + ECX*0x1 + 0x58cf44],DL
techResearched	0x0058D063	287	71	0x004CB798	WRITE	0	true	0x004CB670	FUN_004cb670	MOV byte ptr [ESI + ECX*0x1 + 0x58cf44],DL
techAvailableBW	0x0058F038	0	0	0x004CE8BA	DATA	1	true	0x004CE8A0	FUN_004ce8a0	MOV AL,byte ptr [EAX + EDX*0x4 + 0x58f038]
techAvailableBW	0x0058F04C	20	5	0x00489D60	READ	0	true	0x00489CC0	FUN_00489cc0	CMP dword ptr [0x0058f04c],EBX
techAvailableBW	0x0058F04C	20	5	0x00489B87	WRITE	0	true	0x00489B30	FUN_00489b30	MOV dword ptr [0x0058f04c],EBX
techAvailableBW	0x0058F04C	20	5	0x004C50C0	WRITE	0	true		(none)	MOV dword ptr [0x0058f04c],0x0
techAvailableBW	0x0058F04C	20	5	0x004C50D5	WRITE	0	true		(none)	MOV [0x0058f04c],EAX
techAvailableBW	0x0058F050	24	6	0x004CCCF9	WRITE	0	true	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techAvailableBW	0x0058F050	24	6	0x004CCCF4	DATA	1	true	0x004CCC80	FUN_004ccc80	MOV EDI,0x58f050
techAvailableBW	0x0058F054	28	7	0x004CCCF9	WRITE	0	false	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techAvailableBW	0x0058F117	223	55	0x004CB781	WRITE	0	true	0x004CB670	FUN_004cb670	MOV byte ptr [EDI + ECX*0x1 + 0x58f038],DL
techResearchedBW	0x0058F128	0	0	0x0043254C	DATA	1	true	0x00432530	FUN_00432530	MOV CL,byte ptr [EDX + ECX*0x4 + 0x58f128]
techResearchedBW	0x0058F128	0	0	0x0045490B	DATA	1	true	0x004548B0	FUN_004548b0	MOV AL,byte ptr [EAX + EDX*0x4 + 0x58f128]
techResearchedBW	0x0058F128	0	0	0x00454959	DATA	0	true	0x004548B0	FUN_004548b0	MOV byte ptr [EAX + EDX*0x4 + 0x58f128],BL
techResearchedBW	0x0058F128	0	0	0x0046D767	DATA	1	true	0x0046D610	FUN_0046d610	MOV AL,byte ptr [EDX + ECX*0x4 + 0x58f128]
techResearchedBW	0x0058F128	0	0	0x0047B3EB	DATA	1	true	0x0047B3C0	FUN_0047b3c0	MOV DL,byte ptr [ECX + EDX*0x4 + 0x58f128]
techResearchedBW	0x0058F128	0	0	0x0047B422	DATA	0	true	0x0047B3C0	FUN_0047b3c0	MOV byte ptr [ECX + EDX*0x4 + 0x58f128],AL
techResearchedBW	0x0058F128	0	0	0x004CE86A	DATA	1	true	0x004CE850	FUN_004ce850	MOV AL,byte ptr [EAX + EDX*0x4 + 0x58f128]
techResearchedBW	0x0058F12A	2	0	0x004CB755	WRITE	0	true	0x004CB670	FUN_004cb670	MOV byte ptr [EDI + ECX*0x1 + 0x58f038],DL
techResearchedBW	0x0058F12B	3	0	0x004CB8E4	WRITE	0	true	0x004CB7D0	FUN_004cb7d0	MOV byte ptr [EDI + ECX*0x1 + 0x58f038],DL
techResearchedBW	0x0058F13F	23	5	0x004CB8B8	WRITE	0	true	0x004CB7D0	FUN_004cb7d0	MOV byte ptr [EDI + ECX*0x1 + 0x58f038],DL
techResearchedBW	0x0058F140	24	6	0x004CCD13	WRITE	0	true	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techResearchedBW	0x0058F140	24	6	0x004CCD0E	DATA	1	true	0x004CCC80	FUN_004ccc80	MOV EDI,0x58f140
techResearchedBW	0x0058F144	28	7	0x004CCD13	WRITE	0	false	0x004CCC80	FUN_004ccc80	STOSD.REP ES:EDI
techResearchedBW	0x0058F148	32	8	0x004E2C72	DATA	1	true	0x004E2C00	FUN_004e2c00	MOV DL,byte ptr [ECX + EDX*0x4 + 0x58f128]
