cmdId	byteLen	emitterCount	emitters
0x06	computed	1	0x004C0600
0x07	computed	3	0x00461940;0x004619A0;0x004C05C0
0x08	1	2	0x004C05A0;0x004C9530
0x09	computed	1	0x004C0860
0x0A	computed	1	0x004C0860
0x0B	computed	1	0x004C0860
0x0C	8	2	0x0048E5D0;0x004C0560
0x0D	3	2	0x00490FE0;0x004C0540
0x0E	5	2	0x00490FE0;0x004C04B0
0x0F	2	2	0x00481EF0;0x004C0480
0x10	1	1	0x004C0450
0x11	1	1	0x004C0420
0x12	5	1	0x004C0400
0x13	3	2	0x004846E0;0x004C07B0
0x14	10	2	0x004563A0;0x004C0380
0x15	11	1	0x004C0300
0x18	1	2	0x00423430;0x004C02A0
0x19	1	2	0x00423410;0x004C0280
0x1A	2	2	0x004233F0;0x004C0260
0x1B	1	2	0x004233D0;0x004C0220
0x1C	1	2	0x004233B0;0x004C0200
0x1E	2	2	0x00423760;0x004C01E0
0x1F	3	2	0x004234B0;0x004C01C0
0x20	3	2	0x00423490;0x004C01A0
0x21	2	2	0x00423730;0x004BFED0
0x22	2	2	0x00423270;0x004BFEB0
0x23	3	2	0x00423790;0x004BFE90
0x25	2	2	0x00423470;0x004BFE50
0x26	2	2	0x00423450;0x004BFE30
0x27	1	2	0x00423390;0x004BFD90
0x28	2	2	0x00423B00;0x004BFE10
0x29	3	1	0x004BFDB0
0x2A	1	2	0x00423210;0x004BFD70
0x2B	2	2	0x00423370;0x004C0240
0x2C	2	2	0x004232B0;0x004BFF10
0x2D	2	2	0x00423290;0x004BFEF0
0x2E	1	2	0x004231D0;0x004BFD30
0x2F	5	2	0x00423230;0x004C02C0
0x30	2	2	0x00423350;0x004C00E0
0x31	1	2	0x00423330;0x004C00C0
0x32	2	2	0x00423310;0x004C0050
0x33	1	2	0x004232F0;0x004C0030
0x34	1	2	0x004232D0;0x004BFFA0
0x35	3	2	0x00423860;0x004BFE70
0x36	1	2	0x004234D0;0x004BFCB0
0x37	7	1	0x0047CC50
0x54	1	1	0x00485C70
0x55	2	2	0x00485CE0;0x004E8A30
0x56	10	4	0x004BFC80;0x004DF260;0x004DF2C0;0x004DF300
0x58	5	2	0x004A53C0;0x004BFC50
0x5A	1	2	0x004231F0;0x004BFD50
