cmdId	dispatcherLen	lenTable	emitLen	handler	applier	selectionShape	resourceFns	policy
0x05	1	0x00000001	-	inline		INLINE		passthrough
0x06	computed	0x00000021	computed	0x004C2910		NONE		passthrough
0x07	computed	0x00000021	computed	0x004CF950		NONE		passthrough
0x08	1	0x00000001	1	0x004BFB10		NONE		passthrough
0x09	computed	0x0000001A	computed	0x004C2750		NONE		passthrough
0x0A	computed	0x0000001A	computed	0x004C2560		NONE		passthrough
0x0B	computed	0x0000001A	computed	0x004BFB40		NONE		passthrough
0x0C	8	0x00000008	8	0x004C23C0		SINGLE		passthrough
0x0D	3	0x00000003	3	0x004BF9C0		NONE		passthrough
0x0E	5	0x00000005	5	0x004C28A0		NONE		passthrough
0x0F	2	0x00000002	2	inline		INLINE		passthrough
0x10	1	0x00000001	1	0x004C0BC0		NONE		passthrough
0x11	1	0x00000001	1	0x004C0B00		NONE		passthrough
0x12	5	0x00000005	5	0x004C0AD0		NONE		passthrough
0x13	3	0x00000003	3	0x004C2870		NONE		passthrough
0x14	10	0x0000000A	10	0x004C2370	0x004560D0	LOOP*		fanout
0x15	11	0x0000000B	11	0x004C2320	0x0049AB00	LOOP*		fanout
0x18	1	0x00000001	1	0x004C2EF0		SINGLE	FUN_00468280	passthrough
0x19	1	0x00000001	1	0x004C2EC0		LOOP	FUN_00468280	passthrough
0x1A	2	0x00000002	2	0x004C2190		LOOP		fanout
0x1B	1	0x00000001	1	0x004C1430		LOOP		fanout
0x1C	1	0x00000001	1	0x004C1240		LOOP		fanout
0x1D	1	0x00000001	-	0x004C1050		LOOP		fanout
0x1E	2	0x00000002	2	0x004C2040		LOOP		fanout
0x1F	3	0x00000003	3	0x004C1C20		SINGLE	FUN_00467250	passthrough
0x20	3	0x00000003	3	0x004C0100		SINGLE		passthrough
0x21	2	0x00000002	2	0x004C0720		LOOP		fanout
0x22	2	0x00000002	2	0x004C0660		LOOP		fanout
0x23	3	0x00000003	3	0x004C1990		LOOP	FUN_00467250	passthrough
0x25	2	0x00000002	2	0x004C1F10		LOOP		fanout
0x26	2	0x00000002	2	0x004C1E80		LOOP		fanout
0x27	1	0x00000001	1	0x004C1800		LOOP	FUN_00467250	passthrough
0x28	2	0x00000002	2	0x004C1CC0		LOOP		fanout
0x29	3	0x00000003	3	0x004C24F0		NONE		passthrough
0x2A	1	0x00000001	1	0x004C0E90		LOOP		fanout
0x2B	2	0x00000002	2	0x004C20C0		LOOP		fanout
0x2C	2	0x00000002	2	0x004C1FA0		LOOP		fanout
0x2D	2	0x00000002	2	0x004C1AC0		LOOP		fanout
0x2E	1	0x00000001	1	0x004BFCD0		LOOP		fanout
0x2F	5	0x00000005	5	0x004C1620		SINGLE		passthrough
0x30	2	0x00000002	2	0x004C1BA0		SINGLE		passthrough
0x31	1	0x00000001	1	0x004C0070		SINGLE		passthrough
0x32	2	0x00000002	2	0x004C1B20		SINGLE		passthrough
0x33	1	0x00000001	1	0x004BFFC0		SINGLE		passthrough
0x34	1	0x00000001	1	0x004BFF30		SINGLE		passthrough
0x35	3	0x00000003	3	0x004C1910		SINGLE	FUN_00467250	passthrough
0x36	1	0x00000001	1	0x004C2F30		LOOP		fanout
0x37	7	0x00000001	7	0x0047CDD0		NONE		passthrough
0x38	1	0x00000001	-	0x004BF820		NONE		passthrough
0x39	1	0x00000001	-	0x004BF820		NONE		passthrough
0x3A	2	0x00000002	-	inline		INLINE		passthrough
0x3B	2	0x00000002	-	inline		INLINE		passthrough
0x55	2	0x00000002	2	0x00485E60		NONE		passthrough
0x56	10	0x0000000A	10	0x004DEB90		NONE		passthrough
0x57	2	0x00000002	-	0x004C2E90		NONE		passthrough
0x58	5	0x00000005	5	0x004BF7A0		NONE		passthrough
0x5A	1	0x00000001	1	0x004C0CD0		LOOP		fanout
0x5C	82	0x00000052	-	0x0048D1C0		NONE		passthrough
0x54	not-accepted	0xFFFFFFFF	1	-		NONE		passthrough
