label	specAddr	block	verdict	funcName	funcEntry	bodyMin	bodyMax	bodyBytes	instructions	callRefs	jumpRefs	refsTotal	callingConvention	firstInstruction
CMDACT_HotkeyUnit	0x004C07B0	.text	ENTRY-POINT	FUN_004c07b0	0x004C07B0	0x004C07B0	0x004C0856	167	55	1	0	1	unknown	PUSH EBP
CMDRECV_Hotkey	0x004C2870	.text	ENTRY-POINT	FUN_004c2870	0x004C2870	0x004C2870	0x004C289C	45	19	1	0	1	unknown	MOV AL,byte ptr [ECX + 0x2]
hotkeySaveOrAdd	0x004965D0	.text	ENTRY-POINT	FUN_004965d0	0x004965D0	0x004965D0	0x00496790	446	151	6	0	6	unknown	PUSH EBP
hotkeyOther	0x00496940	.text	ENTRY-POINT	FUN_00496940	0x00496940	0x00496940	0x00496B3A	507	160	1	0	1	unknown	PUSH EBP
lruPickRecentSlot	0x00496560	.text	ENTRY-POINT	FUN_00496560	0x00496560	0x00496560	0x00496598	57	22	3	0	3	unknown	PUSH ESI
in-hotkeyClear	0x004965A3	.text	INSIDE-FUNCTION	FUN_004965a0	0x004965A0	0x004965A0	0x004965C3	36	11	0	0	0	unknown	PUSH EDI
in-selectSingleUnitFromID	0x00496D41	.text	INSIDE-FUNCTION	FUN_00496d30	0x00496D30	0x00496D30	0x00496E8E	351	109	8	0	8	unknown	PUSH EBP
in-gameStartHotkeyClear	0x004EEC73	.text	INSIDE-FUNCTION	FUN_004eec30	0x004EEC30	0x004EEC30	0x004EED01	210	49	1	0	1	unknown	PUSH EBX
hotkeyClear	0x004965A0	.text	ENTRY-POINT	FUN_004965a0	0x004965A0	0x004965A0	0x004965C3	36	11	0	0	0	unknown	PUSH EDI
selectSingleUnitFromID	0x00496D30	.text	ENTRY-POINT	FUN_00496d30	0x00496D30	0x00496D30	0x00496E8E	351	109	8	0	8	unknown	PUSH EBP
gameStartHotkeyClear	0x004EEC30	.text	ENTRY-POINT	FUN_004eec30	0x004EEC30	0x004EEC30	0x004EED01	210	49	1	0	1	unknown	PUSH EBX
CreateNewUnitSelectionsFromList	0x0049AE40	.text	ENTRY-POINT	FUN_0049ae40	0x0049AE40	0x0049AE40	0x0049AEE0	153	51	10	0	10	unknown	PUSH EBP
selectMultipleUnitsFromUnitList	0x0049AEF0	.text	ENTRY-POINT	FUN_0049aef0	0x0049AEF0	0x0049AEF0	0x0049AF74	133	50	3	0	3	unknown	PUSH EBP
clearPlayerSelection	0x0049A740	.text	ENTRY-POINT	FUN_0049a740	0x0049A740	0x0049A740	0x0049A7B4	117	46	3	0	3	unknown	PUSH ESI
addUnitToSelectionSlot	0x0049AF80	.text	ENTRY-POINT	FUN_0049af80	0x0049AF80	0x0049AF80	0x0049AFD9	90	31	1	0	1	unknown	TEST ESI,ESI
getActivePlayerNextSelection	0x0049A850	.text	ENTRY-POINT	FUN_0049a850	0x0049A850	0x0049A850	0x0049A8A3	84	33	73	0	73	unknown	PUSH EBX
CMDACT_Select	0x004C0860	.text	ENTRY-POINT	FUN_004c0860	0x004C0860	0x004C0860	0x004C0AC6	606	219	7	0	7	unknown	PUSH EBP
CMDRECV_Select	0x004C2750	.text	ENTRY-POINT	FUN_004c2750	0x004C2750	0x004C2750	0x004C2864	277	91	1	0	1	unknown	PUSH EBP
