label	targetAddr	byteOffset	elemIndex	fromAddr	refType	opIndex	isPrimary	funcEntry	funcName	instruction
statusScreenButtonFn	0x00458220	0	0	0x00458450	UNCONDITIONAL_CALL	0	true		(none)	CALL 0x00458220
wireframeSelectUpdateFn	0x00456F50	0	0	0x0045841C	DATA	1	true		(none)	MOV dword ptr [ESI + 0x2e],0x456f50
unitStatActSelectionFn	0x00425960	0	0	0x004581CE	UNCONDITIONAL_CALL	0	true	0x00458120	FUN_00458120	CALL 0x00425960
unitStatCondSelectionFn	0x00424660	0	0	0x004581C0	UNCONDITIONAL_CALL	0	true	0x00458120	FUN_00458120	CALL 0x00424660
statDataUpdateFn	0x00458120	0	0	0x004D940F	UNCONDITIONAL_CALL	0	true	0x004D93F0	FUN_004d93f0	CALL 0x00458120
statusDialogInitFn	0x00458570	0	0	0x004C3BF7	UNCONDITIONAL_CALL	0	true	0x004C3BB0	FUN_004c3bb0	CALL 0x00458570
updateSelectedUnitDataFn	0x004C38B0	0	0	0x004D93F9	UNCONDITIONAL_CALL	0	true	0x004D93F0	FUN_004d93f0	CALL 0x004c38b0
statDirtyHelper	0x00458DE0	0	0	0x004599C7	UNCONDITIONAL_CALL	0	true	0x004599A0	FUN_004599a0	CALL 0x00458de0
statDirtyHelper	0x00458DE0	0	0	0x004C3920	UNCONDITIONAL_CALL	0	true	0x004C38B0	FUN_004c38b0	JMP 0x00458de0
unitStatFuncTable	0x005193A4	4	1	0x00458182	DATA	0	true	0x00458120	FUN_00458120	CALL dword ptr [EAX*0x4 + 0x5193a4]
unitStatFuncTable	0x005193A8	8	2	0x0045819F	DATA	0	true	0x00458120	FUN_00458120	CALL dword ptr [EDX*0x4 + 0x5193a8]
