label	targetAddr	byteOffset	elemIndex	fromAddr	refType	opIndex	isPrimary	funcEntry	funcName	instruction
hudStatState	0x0068C1E0	0	0	0x00458D23	READ	1	true	0x00458CF0	FUN_00458cf0	MOV EAX,[0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x00458D43	WRITE	0	true	0x00458CF0	FUN_00458cf0	MOV dword ptr [0x0068c1e0],EDI
hudStatState	0x0068C1E0	0	0	0x00459C2A	WRITE	0	true	0x00459B90	FUN_00459b90	MOV [0x0068c1e0],EAX
hudStatState	0x0068C1E0	0	0	0x0042537F	READ	1	true	0x00425310	FUN_00425310	MOV ECX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x00425468	READ	1	true	0x004253D0	FUN_004253d0	MOV EDX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x0042558B	READ	1	true	0x00425510	FUN_00425510	MOV EDX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x0042566B	READ	1	true	0x00425600	FUN_00425600	MOV ECX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x0042582F	READ	1	true	0x00425790	FUN_00425790	MOV ECX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x0042638B	READ	1	true	0x00426300	FUN_00426300	MOV EDX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x004265B2	READ	1	true	0x00426500	FUN_00426500	MOV ECX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x00426795	READ	1	true	0x004266F0	FUN_004266f0	MOV ECX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x00426A33	READ	1	true	0x004268D0	FUN_004268d0	MOV EDX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x004270DB	READ	1	true	0x00426FF0	FUN_00426ff0	MOV ECX,dword ptr [0x0068c1e0]
hudStatState	0x0068C1E0	0	0	0x004589F0	READ	1	true	0x00458900	FUN_00458900	MOV EAX,[0x0068c1e0]
hudStatState	0x0068C1E4	4	1	0x00459A55	READ	0	true	0x004599A0	FUN_004599a0	CMP byte ptr [0x0068c1e4],AL
hudStatState	0x0068C1E4	4	1	0x00459A6D	WRITE	0	true	0x004599A0	FUN_004599a0	MOV [0x0068c1e4],AL
hudStatState	0x0068C1E4	4	1	0x00459A8E	WRITE	0	true	0x004599A0	FUN_004599a0	MOV byte ptr [0x0068c1e4],DL
hudStatState	0x0068C1E4	4	1	0x00458D50	READ	1	true	0x00458D50	FUN_00458d50	MOVZX ECX,byte ptr [0x0068c1e4]
hudStatState	0x0068C1E4	4	1	0x00458EBA	READ	0	true	0x00458E90	FUN_00458e90	CMP byte ptr [0x0068c1e4],AL
hudStatState	0x0068C1E4	4	1	0x00458ED2	WRITE	0	true	0x00458E90	FUN_00458e90	MOV [0x0068c1e4],AL
hudStatState	0x0068C1E5	5	1	0x0045815C	WRITE	0	true	0x00458120	FUN_00458120	MOV byte ptr [0x0068c1e5],BL
hudStatState	0x0068C1E5	5	1	0x00425964	READ	0	true	0x00425960	FUN_00425960	CMP byte ptr [0x0068c1e5],0x1
hudStatState	0x0068C1E5	5	1	0x0042598B	WRITE	0	true	0x00425960	FUN_00425960	MOV byte ptr [0x0068c1e5],0x1
hudStatState	0x0068C1E5	5	1	0x004585C3	WRITE	0	true	0x00458570	FUN_00458570	MOV byte ptr [0x0068c1e5],0x0
