label	specAddr	resolvedVia	funcEntry	funcName	insAddr	opIndex	opKind	valueHex	valueDec	mnemonic	instruction
addToBuildQueue	0x00467250	exact-entry	0x00467250	FUN_00467250	0x0046725B	1	immediate	0x5	5	CMP	CMP EAX,0x5
addToBuildQueue	0x00467250	exact-entry	0x00467250	FUN_00467250	0x0046728F	0	immediate	0x4	4	RET	RET 0x4
addToBuildQueue	0x00467250	exact-entry	0x00467250	FUN_00467250	0x0046729B	0	mem-operand	0x2	2	MOV	MOV word ptr [EDI + ECX*0x2 + 0x98],AX
addToBuildQueue	0x00467250	exact-entry	0x00467250	FUN_00467250	0x004672A3	0	mem-operand	0x4	4	TEST	TEST byte ptr [EDX*0x4 + 0x664080],0x1
addToBuildQueue	0x00467250	exact-entry	0x00467250	FUN_00467250	0x004672B1	1	immediate	0x2	2	SHL	SHL EAX,0x2
addToBuildQueue	0x00467250	exact-entry	0x00467250	FUN_00467250	0x004672E4	0	immediate	0x4	4	RET	RET 0x4
findFreeBuildQueueSlot	0x004669B0	exact-entry	0x004669B0	FUN_004669b0	0x004669B7	1	immediate	0x5	5	MOV	MOV ECX,0x5
findFreeBuildQueueSlot	0x004669B0	exact-entry	0x004669B0	FUN_004669b0	0x004669C1	1	immediate	0x5	5	CMP	CMP EAX,0x5
findFreeBuildQueueSlot	0x004669B0	exact-entry	0x004669B0	FUN_004669b0	0x004669C8	0	mem-operand	0x2	2	CMP	CMP word ptr [EDX + EAX*0x2 + 0x98],0xe4
findFreeBuildQueueSlot	0x004669B0	exact-entry	0x004669B0	FUN_004669b0	0x004669C8	1	immediate	0xE4	228	CMP	CMP word ptr [EDX + EAX*0x2 + 0x98],0xe4
findFreeBuildQueueSlot	0x004669B0	exact-entry	0x004669B0	FUN_004669b0	0x004669D9	1	immediate	0x5	5	MOV	MOV EAX,0x5
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466A73	1	immediate	0x5	5	CMP	CMP EBX,0x5
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466A8E	1	immediate	0x5	5	MOV	MOV ECX,0x5
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466A98	1	mem-operand	0x2	2	MOV	MOV AX,word ptr [EDI + ESI*0x2 + 0x98]
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466AA0	1	immediate	0xE4	228	CMP	CMP AX,0xe4
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466AC2	0	mem-operand	0x4	4	TEST	TEST byte ptr [EDX*0x4 + 0x664080],0x1
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466AD6	1	immediate	0x4	4	MOV	MOV ECX,0x4
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466AE1	0	mem-operand	0x2	2	CMP	CMP word ptr [EDI + ESI*0x2 + 0x98],0xe4
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466AE1	1	immediate	0xE4	228	CMP	CMP word ptr [EDI + ESI*0x2 + 0x98],0xe4
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466AF1	1	immediate	0x5	5	MOV	MOV EBX,0x5
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466AF8	1	mem-operand	0x2	2	MOV	MOV AX,word ptr [EDI + EDX*0x2 + 0x98]
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466B00	0	mem-operand	0x2	2	MOV	MOV word ptr [EDI + ESI*0x2 + 0x98],AX
cancelBuildQueueSlot	0x00466A70	exact-entry	0x00466A70	FUN_00466a70	0x00466B20	1	mem-operand	0x4	4	MOV	MOV EBX,dword ptr [EAX + EDX*0x4 + 0x18]
