field	addr	function	funcEntry	mnemonic	opIndex	baseReg	access	text
0x98	0x00401511	FUN_00401500	0x00401500	CMP	0	ECX	r	CMP word ptr [ECX + EDX*0x2 + 0x98],0xe4
0x98	0x00401E89	FUN_00401e70	0x00401E70	CMP	1	ECX	r	CMP AX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00408C34	___free_lc_time	0x00408AE0	PUSH	0	ESI	r	PUSH dword ptr [ESI + 0x98]
0x98	0x0040D06A	_qsort	0x0040CFF0	MOV	1	ESP	r	MOV EAX,dword ptr [ESP + EAX*0x4 + 0x98]
0x98	0x0040D21A	_qsort	0x0040CFF0	MOV	0	ESP	w	MOV dword ptr [ESP + ECX*0x4 + 0x98],ESI
0x98	0x0040D247	_qsort	0x0040CFF0	MOV	0	ESP	w	MOV dword ptr [ESP + ECX*0x4 + 0x98],EDX
0x98	0x00425697	FUN_00425600	0x00425600	MOV	1	EAX	r	MOV DI,word ptr [EAX + ECX*0x2 + 0x98]
0x98	0x004256FB	FUN_00425600	0x00425600	MOV	1	EAX	r	MOV DI,word ptr [EAX + ECX*0x2 + 0x98]
0x98	0x004269D6	FUN_004268d0	0x004268D0	MOV	1	ESI	r	MOV DX,word ptr [ESI + EDX*0x2 + 0x98]
0x98	0x00426AED	FUN_004268d0	0x004268D0	MOV	1	ECX	r	MOV SI,word ptr [ECX + EAX*0x2 + 0x98]
0x98	0x00426B31	FUN_004268d0	0x004268D0	MOV	1	ECX	r	MOV DX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x0042700F	FUN_00426ff0	0x00426FF0	CMP	0	ECX	r	CMP word ptr [ECX + EDX*0x2 + 0x98],0x69
0x98	0x0042854D	FUN_00428530	0x00428530	CMP	1	ECX	r	CMP AX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x004344ED	FUN_00434480	0x00434480	MOV	1	ECX	r	MOV DX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x0043812E	FUN_00438050	0x00438050	MOVZX	1	ECX	r	MOVZX EDX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00456921	FUN_004568f0	0x004568F0	MOV	1	ESI	r	MOV CX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x0045CD10	FUN_0045cd00	0x0045CD00	MOVZX	1	EAX	r	MOVZX EAX,word ptr [EAX + ECX*0x2 + 0x98]
0x98	0x0045D0E2	FUN_0045d0d0	0x0045D0D0	MOV	1	ESI	r	MOV AX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x0045D3FF	FUN_0045d2e0	0x0045D2E0	MOV	0	ESI	w	MOV word ptr [ESI + ECX*0x2 + 0x98],0xe4
0x98	0x0045D41B	FUN_0045d410	0x0045D410	MOV	1	ESI	r	MOV AX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x0045D47B	FUN_0045d410	0x0045D410	MOV	0	ESI	w	MOV word ptr [ESI + ECX*0x2 + 0x98],0xe4
0x98	0x0045D50C	FUN_0045d500	0x0045D500	MOVZX	1	EDI	r	MOVZX EAX,word ptr [EDI + EAX*0x2 + 0x98]
0x98	0x0045DA5A	FUN_0045da40	0x0045DA40	MOVZX	1	EBX	r	MOVZX EAX,word ptr [EBX + EAX*0x2 + 0x98]
0x98	0x0045DEE0	FUN_0045dea0	0x0045DEA0	MOV	1	ESI	r	MOV CX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x0045DF17	FUN_0045dea0	0x0045DEA0	MOV	0	ESI	w	MOV word ptr [ESI + EDX*0x2 + 0x98],0xe4
0x98	0x0045DFD6	FUN_0045dea0	0x0045DEA0	MOV	1	ESI	r	MOV AX,word ptr [ESI + EDX*0x2 + 0x98]
0x98	0x0045E061	FUN_0045dea0	0x0045DEA0	MOVZX	1	ESI	r	MOVZX EDX,word ptr [ESI + ECX*0x2 + 0x98]
0x98	0x0045E0C2	FUN_0045e090	0x0045E090	MOV	1	ESI	r	MOV BX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x004667CD	FUN_00466790	0x00466790	MOV	1	EBX	r	MOV DI,word ptr [EBX + EAX*0x2 + 0x98]
0x98	0x00466860	FUN_00466790	0x00466790	MOV	0	EBX	w	MOV word ptr [EBX + EAX*0x2 + 0x98],0xe4
0x98	0x004669C8	FUN_004669b0	0x004669B0	CMP	0	EDX	r	CMP word ptr [EDX + EAX*0x2 + 0x98],0xe4
0x98	0x00466A08	FUN_004669e0	0x004669E0	MOV	1	ESI	r	MOV DX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x00466A98	FUN_00466a70	0x00466A70	MOV	1	EDI	r	MOV AX,word ptr [EDI + ESI*0x2 + 0x98]
0x98	0x00466AE1	FUN_00466a70	0x00466A70	CMP	0	EDI	r	CMP word ptr [EDI + ESI*0x2 + 0x98],0xe4
0x98	0x00466AF8	FUN_00466a70	0x00466A70	MOV	1	EDI	r	MOV AX,word ptr [EDI + EDX*0x2 + 0x98]
0x98	0x00466B00	FUN_00466a70	0x00466A70	MOV	0	EDI	w	MOV word ptr [EDI + ESI*0x2 + 0x98],AX
0x98	0x00466B2E	FUN_00466a70	0x00466A70	MOV	0	EDI	w	MOV word ptr [EDI + ESI*0x2 + 0x98],0xe4
0x98	0x00466BE2	FUN_00466b70	0x00466B70	MOVZX	1	ECX	r	MOVZX EAX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00466C63	FUN_00466b70	0x00466B70	MOVZX	1	ECX	r	MOVZX EDX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00466C81	FUN_00466b70	0x00466B70	MOVZX	1	ECX	r	MOVZX EAX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00466C9B	FUN_00466b70	0x00466B70	MOVZX	1	ECX	r	MOVZX EDX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00466CB8	FUN_00466b70	0x00466B70	MOVZX	1	ECX	r	MOVZX EAX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00466CD0	FUN_00466b70	0x00466B70	MOVZX	1	ECX	r	MOVZX ECX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00466CEC	FUN_00466b70	0x00466B70	MOVZX	1	ECX	r	MOVZX EAX,word ptr [ECX + EDX*0x2 + 0x98]
0x98	0x00466E5D	FUN_00466e40	0x00466E40	CMP	0	EDI	r	CMP word ptr [EDI + EDX*0x2 + 0x98],0xe4
0x98	0x00466EA1	FUN_00466e80	0x00466E80	CMP	0	EDI	r	CMP word ptr [EDI + EDX*0x2 + 0x98],0xe4
0x98	0x00466EBC	FUN_00466e80	0x00466E80	MOV	0	EDI	w	MOV dword ptr [EDI + 0x98],EDX
0x98	0x00467041	FUN_00467030	0x00467030	MOV	1	ESI	r	MOV BX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x0046729B	FUN_00467250	0x00467250	MOV	0	EDI	w	MOV word ptr [EDI + ECX*0x2 + 0x98],AX
0x98	0x004680C8	FUN_00467fd0	0x00467FD0	MOV	1	EDI	r	MOV CX,word ptr [EDI + EAX*0x2 + 0x98]
0x98	0x00468102	FUN_00467fd0	0x00467FD0	MOV	0	EDI	w	MOV word ptr [EDI + ECX*0x2 + 0x98],0xe4
0x98	0x00468341	FUN_00468280	0x00468280	MOV	1	ESI	r	MOV CX,word ptr [ESI + EDX*0x2 + 0x98]
0x98	0x004683B5	FUN_00468280	0x00468280	MOV	0	ESI	w	MOV word ptr [ESI + EAX*0x2 + 0x98],0xe4
0x98	0x00468501	FUN_00468420	0x00468420	MOV	0	ESI	w	MOV word ptr [ESI + EDX*0x2 + 0x98],0xe4
0x98	0x0046853A	FUN_00468420	0x00468420	MOV	1	ESI	r	MOV AX,word ptr [ESI + EDI*0x2 + 0x98]
0x98	0x00468581	FUN_00468420	0x00468420	CMP	0	ESI	r	CMP word ptr [ESI + EDI*0x2 + 0x98],0xe4
0x98	0x00468598	FUN_00468420	0x00468420	MOV	1	ESI	r	MOV AX,word ptr [ESI + EDX*0x2 + 0x98]
0x98	0x004685A0	FUN_00468420	0x00468420	MOV	0	ESI	w	MOV word ptr [ESI + EDI*0x2 + 0x98],AX
0x98	0x004685CE	FUN_00468420	0x00468420	MOV	0	ESI	w	MOV word ptr [ESI + EDI*0x2 + 0x98],0xe4
0x98	0x004685F9	FUN_00468420	0x00468420	MOV	1	ESI	r	MOV DI,word ptr [ESI + ECX*0x2 + 0x98]
0x98	0x0047B280	FUN_0047b270	0x0047B270	MOV	1	EDX	r	MOV AX,word ptr [EDX + EAX*0x2 + 0x98]
0x98	0x0047B5B0	FUN_0047b5a0	0x0047B5A0	MOV	1	ECX	r	MOV DX,word ptr [ECX + EAX*0x2 + 0x98]
0x98	0x0047CA38	FUN_0047c9f0	0x0047C9F0	CMP	0	EDI	r	CMP word ptr [EDI + EDX*0x2 + 0x98],0x69
0x98	0x00488C7E	FUN_00488bf0	0x00488BF0	MOVZX	1	ESI	r	MOVZX EAX,word ptr [ESI + EAX*0x2 + 0x98]
0x98	0x0049F2DB	FUN_0049f170	0x0049F170	MOV	0	ESI	w	MOV word ptr [ESI + EAX*0x2 + 0x98],0xe4
0x98	0x0049FD6D	FUN_0049fd00	0x0049FD00	CMP	0	ESI	r	CMP word ptr [ESI + EDX*0x2 + 0x98],0x69
0x98	0x004A03D1	FUN_004a0320	0x004A0320	MOV	0	ESI	w	MOV dword ptr [ESI + 0x98],ECX
0x98	0x004C4B4C	FUN_004c4a80	0x004C4A80	MOVZX	1	ECX	r	MOVZX EDX,word ptr [ECX + 0x98]
0x98	0x004D1071			MOV	1	ESI	r	MOV ECX,dword ptr [ESI + 0x98]
0x98	0x004E4D58	FUN_004e4d00	0x004E4D00	CMP	0	EDI	r	CMP word ptr [EDI + EAX*0x2 + 0x98],0x9d
0x98	0x004E4DCE	FUN_004e4d00	0x004E4D00	CMP	0	EDI	r	CMP word ptr [EDI + EDX*0x2 + 0x98],0x9d
0x98	0x004E4E05	FUN_004e4d00	0x004E4D00	MOV	1	EDI	r	MOV SI,word ptr [EDI + EAX*0x2 + 0x98]
0x98	0x004E4E43	FUN_004e4d00	0x004E4D00	MOV	0	EDI	w	MOV word ptr [EDI + EAX*0x2 + 0x98],0xe4
0x98	0x004E9C60			MOV	1	ESI	r	MOV DI,word ptr [ESI + EAX*0x2 + 0x98]
0xA4	0x00401500	FUN_00401500	0x00401500	MOVZX	1	ECX	r	MOVZX EAX,byte ptr [ECX + 0xa4]
0xA4	0x00401E70	FUN_00401e70	0x00401E70	MOVZX	1	ECX	r	MOVZX EAX,byte ptr [ECX + 0xa4]
0xA4	0x00408C55	___free_lc_time	0x00408AE0	PUSH	0	ESI	r	PUSH dword ptr [ESI + 0xa4]
0xA4	0x00425690	FUN_00425600	0x00425600	MOVZX	1	EAX	r	MOVZX ECX,byte ptr [EAX + 0xa4]
0xA4	0x004256F4	FUN_00425600	0x00425600	MOVZX	1	EAX	r	MOVZX ECX,byte ptr [EAX + 0xa4]
0xA4	0x004269C3	FUN_004268d0	0x004268D0	MOVZX	1	ESI	r	MOVZX EAX,byte ptr [ESI + 0xa4]
0xA4	0x00426AE6	FUN_004268d0	0x004268D0	MOVZX	1	ECX	r	MOVZX EAX,byte ptr [ECX + 0xa4]
0xA4	0x00426B2A	FUN_004268d0	0x004268D0	MOVZX	1	ECX	r	MOVZX EDX,byte ptr [ECX + 0xa4]
0xA4	0x00426FFA	FUN_00426ff0	0x00426FF0	MOVZX	1	ECX	r	MOVZX EAX,byte ptr [ECX + 0xa4]
0xA4	0x00428536	FUN_00428530	0x00428530	MOVZX	1	ECX	r	MOVZX EAX,byte ptr [ECX + 0xa4]
0xA4	0x004344D8	FUN_00434480	0x00434480	MOVZX	1	ECX	r	MOVZX EAX,byte ptr [ECX + 0xa4]
0xA4	0x00435E9C	FUN_00435db0	0x00435DB0	MOVZX	1	ECX	r	MOVZX EDI,byte ptr [ECX + 0xa4]
0xA4	0x00438127	FUN_00438050	0x00438050	MOVZX	1	ECX	r	MOVZX EDX,byte ptr [ECX + 0xa4]
0xA4	0x0045691A	FUN_004568f0	0x004568F0	MOVZX	1	ESI	r	MOVZX EAX,byte ptr [ESI + 0xa4]
0xA4	0x0045CD09	FUN_0045cd00	0x0045CD00	MOVZX	1	EAX	r	MOVZX ECX,byte ptr [EAX + 0xa4]
0xA4	0x0045D0DB	FUN_0045d0d0	0x0045D0D0	MOVZX	1	ESI	r	MOVZX EAX,byte ptr [ESI + 0xa4]
0xA4	0x0045D3F7	FUN_0045d2e0	0x0045D2E0	MOVZX	1	ESI	r	MOVZX ECX,byte ptr [ESI + 0xa4]
