module	stringVA	funcEntry	refs
BNetGW	0x00504D88	0x00452AF0	2
BNetGW	0x00504D88	0x00452C40	1
BNetGW	0x00504D88	0x00452CE0	2
CBullet	0x0050432C	0x0048AB00	3
CBullet	0x0050432C	0x0048ABD0	3
CBullet	0x0050432C	0x0048AEB0	2
CFlingy	0x00504254	0x00495A50	3
CFlingy	0x00504254	0x00495B50	2
CImage	0x00501F84	0x004D6220	3
CImage	0x00501F84	0x004D64C0	2
CImage	0x00501F84	0x004D7180	1
compress	0x00502AFC	0x004C30D0	3
compress	0x00502AFC	0x004C3280	3
compress	0x00502AFC	0x004C3450	3
credits	0x00501C94	0x004D8790	1
credits	0x00501C94	0x004D8840	2
credits	0x00501C94	0x004D8DF0	2
CSprite	0x00504224	0x00498570	3
CSprite	0x00504224	0x00498740	2
CThingy	0x0050437C	0x00487DB0	3
CThingy	0x0050437C	0x00487EC0	2
CtxtHelp	0x005044F0	0x00481330	2
CUnitInit	0x005040F0	0x0049E6C0	3
CUnitInit	0x005040F0	0x0049E790	3
CUnitProtoss	0x00504284	0x00493360	1
CUnitProtoss	0x00504284	0x004EE210	1
CUnitProtoss	0x00504284	0x004EE8C0	1
CUnitSave	0x005047AC	0x004EAAF0	2
cur	0x00502B54	0x004D1560	1
cur	0x00502B54	0x004DC940	1
cur	0x00502B54	0x004DDF90	1
dlg_ctrl	0x00505FB8	0x00418C40	2
dlg_dlg	0x00505F98	0x00419D20	1
dlg_dlg	0x00505F98	0x004DC870	1
dlg_edit	0x00506108	0x00416450	1
dlg_edit	0x00506108	0x004165C0	1
dlg_effects	0x005060E4	0x00416D90	3
dlg_effects	0x005060E4	0x004174A0	1
dlg_effects	0x005060E4	0x00417C20	4
dlg_flc	0x00506154	0x004E1260	1
dlg_lbox	0x00505F74	0x0041B140	3
dlg_lbox	0x00505F74	0x0041B550	1
dlg_lbox	0x00505F74	0x0041B620	1
dlg_lbox	0x00505F74	0x0041B760	1
dlg_lbox	0x00505F74	0x0041B8F0	3
dlg_scrlbar	0x00506190	0x00414C90	1
dlg_timer	0x00506130	0x00415F30	2
dlg_timer	0x00506130	0x00416000	2
dlg_timer	0x00506130	0x00416090	1
dlgFatal	0x00504D50	0x004E4590	2
dlgFatal	0x00504D50	0x004E4A10	3
fd	0x005046A4	0x004EAD80	1
fd	0x005046A4	0x004EADF0	1
fd_user	0x005049A4	0x0045A4A0	2
fd_user	0x005049A4	0x0045A600	3
game	0x00501970	0x004EE2D0	3
game	0x00501970	0x004EE5B0	1
gamedata	0x00502268	0x0044F0F0	1
gamedata	0x00502268	0x00458570	1
gamedata	0x00502268	0x00459B90	1
gamedata	0x00502268	0x0045B5F0	2
gamedata	0x00502268	0x0045F320	2
gamedata	0x00502268	0x0047E7B0	1
gamedata	0x00502268	0x0047F2C0	1
gamedata	0x00502268	0x004A5A80	1
gamedata	0x00502268	0x004A5D10	1
gamedata	0x00502268	0x004AB620	1
gamedata	0x00502268	0x004AB750	1
gamedata	0x00502268	0x004AB860	1
gamedata	0x00502268	0x004AD140	1
gamedata	0x00502268	0x004AD330	1
gamedata	0x00502268	0x004B0C60	1
gamedata	0x00502268	0x004B0DC0	1
gamedata	0x00502268	0x004B1060	1
gamedata	0x00502268	0x004B13A0	1
gamedata	0x00502268	0x004B19C0	1
gamedata	0x00502268	0x004B4AF0	1
gamedata	0x00502268	0x004B6E50	1
gamedata	0x00502268	0x004B7180	1
gamedata	0x00502268	0x004B73B0	1
gamedata	0x00502268	0x004B75E0	1
gamedata	0x00502268	0x004B7820	2
gamedata	0x00502268	0x004B7A70	1
gamedata	0x00502268	0x004B86C0	1
gamedata	0x00502268	0x004B9E70	1
gamedata	0x00502268	0x004BAF30	1
gamedata	0x00502268	0x004BD6F0	5
gamedata	0x00502268	0x004BDE60	1
gamedata	0x00502268	0x004BED70	1
gamedata	0x00502268	0x004C3A20	1
gamedata	0x00502268	0x004CDBD0	1
gamedata	0x00502268	0x004D26B0	1
gamedata	0x00502268	0x004D2E40	1
gamedata	0x00502268	0x004D2E60	1
gamedata	0x00502268	0x004D2E80	2
gamedata	0x00502268	0x004D49A0	1
gamedata	0x00502268	0x004D7180	1
gamedata	0x00502268	0x004D7390	1
gamedata	0x00502268	0x004D8DF0	2
gamedata	0x00502268	0x004D9EB0	2
gamedata	0x00502268	0x004DDD30	1
gamedata	0x00502268	0x004DFFC0	1
gamedata	0x00502268	0x004E4A10	1
gamedata	0x00502268	0x004E5990	1
gamedata	0x00502268	0x004EDC30	1
gamedata	0x00502268	0x004F37C0	1
gamedata	0x00502268	0x004F4DC0	1
gamedata	0x00502268	0x004F5300	1
gamedata	0x00502268	0x004F5530	1
gamedata	0x00502268	0x004F57A0	1
gamedata	0x00502268	0x004F5D70	1
gamedata	0x00502268	0x004F5EE0	1
gamedata	0x00502268	0x004F71F0	1
gamedata	0x00502268	0x004F7550	1
gamedata	0x00502268	0x004F78B0	1
gameloop	0x00501BE4	0x004D92A0	1
Gamemap	0x00502BFC	0x004BCF50	1
Gamemap	0x00502BFC	0x004BD190	10
Gamemap	0x00502BFC	0x004BD6F0	4
gametype	0x00503E70	0x004AB620	1
gametype	0x00503E70	0x004AB750	3
gametype	0x00503E70	0x004AB860	2
gds_appaddex	0x00505750	0x004F6100	1
gds_appexi	0x00505C60	0x004207B0	1
gds_font	0x00505D44	0x0041FD10	1
gds_font	0x00505D44	0x004DA510	1
gds_image	0x00505E64	0x0041E050	1
gds_vidblit	0x00505F50	0x0041D5A0	1
gds_vidinimo	0x00505E88	0x004DB060	1
gds_vidinimo_PC	0x00505F1C	0x0041D930	10
gluBN	0x00503810	0x00448BB0	1
gluBN	0x00503810	0x0044A820	1
gluBN	0x00503810	0x0044A930	3
gluBN	0x00503810	0x0044D450	1
gluBN	0x00503810	0x004ABFE0	1
gluBN	0x00503810	0x004ACF20	1
gluBN	0x00503810	0x004ACF80	2
gluBNChat	0x00505460	0x004491E0	1
gluBNChat	0x00505460	0x00449390	2
gluBNCreate	0x005053AC	0x0044A250	2
gluBNCreate	0x005053AC	0x0044A730	4
gluBNCreate	0x005053AC	0x0044AC00	2
gluBNCreate	0x005053AC	0x0044AD80	2
gluBNIcon	0x005054A8	0x004ACF20	1
gluBNOkCancel	0x005055D4	0x00448AD0	2
gluBNProfile	0x00504F0C	0x0044CDA0	2
gluBNProfile	0x00504F0C	0x0044CDF0	2
gluBNProfile	0x00504F0C	0x0044CF90	2
gluBNProfile	0x00504F0C	0x0044D1E0	9
gluBNProfile	0x00504F0C	0x0044D5B0	1
gluBNProfile	0x00504F0C	0x0044D760	2
gluBNProfile	0x00504F0C	0x0044D8E0	2
gluBNProfile	0x00504F0C	0x0044DF20	2
gluBrfPort	0x00504E60	0x0044EAA0	1
gluBrfPort	0x00504E60	0x0044EB20	1
gluBrfPort	0x00504E60	0x0044EF00	2
gluChat	0x00502DF8	0x004B8F10	2
gluChat	0x00502DF8	0x004B9E70	1
gluChatSlot	0x00504E3C	0x0044F480	1
gluChatSlot	0x00504E3C	0x0044F730	1
gluChatSlot	0x00504E3C	0x00450740	4
gluChatSlot	0x00504E3C	0x004513F0	1
gluConn	0x00502D6C	0x004BA1A0	1
gluConn	0x00502D6C	0x004BA1F0	1
gluConn	0x00502D6C	0x004BAB10	3
gluConn	0x00502D6C	0x004BAF30	1
gluCreat	0x00503720	0x004AF6D0	2
gluError	0x005032AC	0x004B5450	1
gluError	0x005032AC	0x004B5500	1
gluError	0x005032AC	0x004B57B0	1
gluError	0x005032AC	0x004B59A0	2
gluError	0x005032AC	0x004B5B20	2
gluError	0x005032AC	0x004B5CC0	2
glues	0x00501790	0x004AF6D0	2
glues	0x00501790	0x004B2930	2
glues	0x00501790	0x004B52A0	2
glues	0x00501790	0x004B6490	2
glues	0x00501790	0x004DCFA0	1
glues	0x00501790	0x004DD850	1
glues	0x00501790	0x004DD910	1
glues	0x00501790	0x004DD9E0	1
glues	0x00501790	0x004DDF00	1
glues	0x00501790	0x004DE040	1
glues	0x00501790	0x004DE200	4
gluJoin	0x00502F28	0x004B86C0	1
gluLogin	0x00502DA0	0x004EDC30	1
gluMain	0x0050190C	0x004DB140	1
gluMain	0x0050190C	0x004DB260	1
gluMain	0x0050190C	0x004DB280	2
gluMain	0x0050190C	0x004DB930	4
gluMap	0x00503EB4	0x0044B2C0	8
gluMap	0x00503EB4	0x0044B4A0	9
gluMap	0x00503EB4	0x004A63A0	2
gluMap	0x00503EB4	0x004A6490	2
gluMap	0x00503EB4	0x004A6770	10
gluMap	0x00503EB4	0x004A6EE0	1
gluMap	0x00503EB4	0x004A7210	2
gluMap	0x00503EB4	0x004AE920	7
gluModem	0x005036D8	0x004B0C60	1
gluModem	0x005036D8	0x004B0DC0	1
gluModem	0x005036D8	0x004B1060	1
gluModem	0x005036D8	0x004B13A0	1
