stage	va	len	changed	name	before	after	expect	patch	cave	note
0	0x0041DA3D	5	0	displaymode.height	push 0x1e0	push 0x1e0	68E0010000	68E0010000		IDirectDraw::SetDisplayMode height
0	0x0041DA42	5	1	displaymode.width	push 0x280	push 0x500	6880020000	6800050000		IDirectDraw::SetDisplayMode width
0	0x0041DB9C	7	1	fallbacksurface.width	mov dword ptr [ebp - 0x60], 0x280	mov dword ptr [ebp - 0x60], 0x500	C745A080020000	C745A000050000		offscreen fallback surface dwWidth (used when the primary will not lock)
0	0x0041DBA3	7	0	fallbacksurface.height	mov dword ptr [ebp - 0x64], 0x1e0	mov dword ptr [ebp - 0x64], 0x1e0	C7459CE0010000	C7459CE0010000		offscreen fallback surface dwHeight
1	0x004DB077	5	1	screenbuffer.alloc	push 0x4b000	push 0x96000	6800B00400	6800600900		SMemAlloc size for the single 8-bit framebuffer
1	0x004DB07C	9	1	screenbitmap.width.vidinimo	mov word ptr [0x6ceff0], 0x280	mov word ptr [0x6ceff0], 0x500	66C705F0EF6C008002	66C705F0EF6C000005		screenBitmap.width, written by the video init
1	0x004DB085	9	0	screenbitmap.height.vidinimo	mov word ptr [0x6ceff2], 0x1e0	mov word ptr [0x6ceff2], 0x1e0	66C705F2EF6C00E001	66C705F2EF6C00E001		screenBitmap.height, written by the video init
1	0x0041E07B	9	1	screenbitmap.width.image	mov word ptr [0x6ceff0], 0x280	mov word ptr [0x6ceff0], 0x500	66C705F0EF6C008002	66C705F0EF6C000005		screenBitmap.width, second writer (gds\image.cpp 0x0041E050)
1	0x0041E084	9	0	screenbitmap.height.image	mov word ptr [0x6ceff2], 0x1e0	mov word ptr [0x6ceff2], 0x1e0	66C705F2EF6C00E001	66C705F2EF6C00E001		screenBitmap.height, second writer
1	0x0041DDD9	5	1	screenbuffer.alloc.third	push 0x4b000	push 0x96000	6800B00400	6800600900		SMemAlloc size, THIRD copy of the video init (new in task 034)
