label	specAddr	block	verdict	funcName	funcEntry	bodyMin	bodyMax	bodyBytes	instructions	callRefs	jumpRefs	refsTotal	callingConvention	firstInstruction
SortAllUnits	0x0046F0F0	.text	ENTRY-POINT	FUN_0046f0f0	0x0046F0F0	0x0046F0F0	0x0046F28B	412	143	3	0	3	unknown	PUSH EBP
selectionOverflowHandler	0x0046F040	.text	ENTRY-POINT	FUN_0046f040	0x0046F040	0x0046F040	0x0046F0E0	161	70	2	0	2	unknown	PUSH EBP
combineSelectionsLists	0x0046F290	.text	ENTRY-POINT	FUN_0046f290	0x0046F290	0x0046F290	0x0046F37E	236	98	2	0	2	unknown	PUSH EBP
resolveClickedUnit	0x0046F3A0	.text	ENTRY-POINT	FUN_0046f3a0	0x0046F3A0	0x0046F3A0	0x0046F5A1	514	163	4	0	4	unknown	PUSH EBP
applyNewSelect	0x0046FA00	.text	ENTRY-POINT	FUN_0046fa00	0x0046FA00	0x0046FA00	0x0046FA36	55	24	4	0	4	unknown	PUSH EBP
unit_isUnselectable	0x0046ED80	.text	ENTRY-POINT	FUN_0046ed80	0x0046ED80	0x0046ED80	0x0046EDA3	36	10	4	0	4	unknown	MOVZX EAX,AX
unit_IsStandardAndMovable	0x0047B770	.text	ENTRY-POINT	FUN_0047b770	0x0047B770	0x0047B770	0x0047B801	146	47	14	0	14	unknown	MOV AX,word ptr [ECX + 0x64]
selectSingleUnitFromID	0x00496D30	.text	ENTRY-POINT	FUN_00496d30	0x00496D30	0x00496D30	0x00496E8E	351	109	8	0	8	unknown	PUSH EBP
CreateNewUnitSelectionsFromList	0x0049AE40	.text	ENTRY-POINT	FUN_0049ae40	0x0049AE40	0x0049AE40	0x0049AEE0	153	51	10	0	10	unknown	PUSH EBP
selectMultipleUnitsFromUnitList	0x0049AEF0	.text	ENTRY-POINT	FUN_0049aef0	0x0049AEF0	0x0049AEF0	0x0049AF74	133	50	3	0	3	unknown	PUSH EBP
CMDACT_Select	0x004C0860	.text	ENTRY-POINT	FUN_004c0860	0x004C0860	0x004C0860	0x004C0AC6	606	219	7	0	7	unknown	PUSH EBP
CMDACT_HotkeyUnit	0x004C07B0	.text	ENTRY-POINT	FUN_004c07b0	0x004C07B0	0x004C07B0	0x004C0856	167	55	1	0	1	unknown	PUSH EBP
hotkeySaveOrAdd	0x004965D0	.text	ENTRY-POINT	FUN_004965d0	0x004965D0	0x004965D0	0x00496790	446	151	6	0	6	unknown	PUSH EBP
hotkeyRecall	0x00496940	.text	ENTRY-POINT	FUN_00496940	0x00496940	0x00496940	0x00496B3A	507	160	1	0	1	unknown	PUSH EBP
hotkeyLruSlot	0x00496560	.text	ENTRY-POINT	FUN_00496560	0x00496560	0x00496560	0x00496598	57	22	3	0	3	unknown	PUSH ESI
CMDRECV_Select	0x004C2750	.text	ENTRY-POINT	FUN_004c2750	0x004C2750	0x004C2750	0x004C2864	277	91	1	0	1	unknown	PUSH EBP
CMDRECV_ShiftSelect	0x004C2560	.text	ENTRY-POINT	FUN_004c2560	0x004C2560	0x004C2560	0x004C274E	495	163	1	0	1	unknown	PUSH EBP
CMDRECV_Hotkey	0x004C2870	.text	ENTRY-POINT	FUN_004c2870	0x004C2870	0x004C2870	0x004C289C	45	19	1	0	1	unknown	MOV AL,byte ptr [ECX + 0x2]
addUnitToSelectionSlot	0x0049AF80	.text	ENTRY-POINT	FUN_0049af80	0x0049AF80	0x0049AF80	0x0049AFD9	90	31	1	0	1	unknown	TEST ESI,ESI
clearPlayerSelection	0x0049A740	.text	ENTRY-POINT	FUN_0049a740	0x0049A740	0x0049A740	0x0049A7B4	117	46	3	0	3	unknown	PUSH ESI
teamSelectionAllianceCheck	0x0049A110	.text	ENTRY-POINT	FUN_0049a110	0x0049A110	0x0049A110	0x0049A165	86	27	5	0	5	unknown	MOV CL,byte ptr [0x0057f0b4]
getActivePlayerNextSelection	0x0049A850	.text	ENTRY-POINT	FUN_0049a850	0x0049A850	0x0049A850	0x0049A8A3	84	33	73	0	73	unknown	PUSH EBX
compareUnitRank	0x0049A350	.text	ENTRY-POINT	FUN_0049a350	0x0049A350	0x0049A350	0x0049A409	186	58	4	0	4	unknown	TEST ESI,ESI
updateSelectedUnitData	0x004C38B0	.text	ENTRY-POINT	FUN_004c38b0	0x004C38B0	0x004C38B0	0x004C3924	117	34	1	0	1	unknown	PUSH EBX
clearSelectionHotkeys	0x004965A0	.text	ENTRY-POINT	FUN_004965a0	0x004965A0	0x004965A0	0x004965C3	36	11	0	0	0	unknown	PUSH EDI
hotkeyGroupCompact	0x004967E0	.text	ENTRY-POINT	FUN_004967e0	0x004967E0	0x004967E0	0x00496935	335	119	11	0	11	unknown	PUSH EBP
hotkeyGroupHelper	0x00496B40	.text	ENTRY-POINT	FUN_00496b40	0x00496B40	0x00496B40	0x00496D24	485	158	12	0	12	unknown	PUSH EBP
clearAllPlayerSelections	0x0049A320	.text	ENTRY-POINT	FUN_0049a320	0x0049A320	0x0049A320	0x0049A34B	44	13	0	0	0	unknown	PUSH EDI
clearClientSelectionGroup2	0x004BF8A0	.text	ENTRY-POINT	FUN_004bf8a0	0x004BF8A0	0x004BF8A0	0x004BF8B1	18	5	0	0	0	unknown	XOR EAX,EAX
clientSelectionGroup2Slot0Player	0x004BFA40	.text	ENTRY-POINT	FUN_004bfa40	0x004BFA40	0x004BFA40	0x004BFA4F	16	7	0	0	0	unknown	MOV EAX,[0x0059724c]
hudTeardownClearsClientSelection	0x004C3780	.text	ENTRY-POINT	FUN_004c3780	0x004C3780	0x004C3780	0x004C38A6	295	79	1	0	1	unknown	PUSH ESI
hudConsoleInitOwns0x00597238	0x004C3950	.text	ENTRY-POINT	FUN_004c3950	0x004C3950	0x004C3950	0x004C3A12	195	59	1	0	1	unknown	PUSH EBP
clientSelectionCountWriter	0x004C3BB0	.text	ENTRY-POINT	FUN_004c3bb0	0x004C3BB0	0x004C3BB0	0x004C3C71	194	52	1	0	1	unknown	PUSH EBX
hotkeyStorageUser004EEC30	0x004EEC30	.text	ENTRY-POINT	FUN_004eec30	0x004EEC30	0x004EEC30	0x004EED01	210	49	1	0	1	unknown	PUSH EBX
selectionResetOnGameStart	0x004EED10	.text	ENTRY-POINT	FUN_004eed10	0x004EED10	0x004EED10	0x004EEDF8	233	64	1	0	1	unknown	PUSH EDI
removeUnitFromPlayerSelection	0x0049A170	.text	ENTRY-POINT	FUN_0049a170	0x0049A170	0x0049A170	0x0049A252	227	90	2	0	2	unknown	PUSH EBP
saveGameWriteBlocks	0x004C2910	.text	ENTRY-POINT	FUN_004c2910	0x004C2910	0x004C2910	0x004C2E88	1401	436	1	0	1	unknown	PUSH EBP
loadGameReadBlocks	0x004CFEF0	.text	ENTRY-POINT	FUN_004cfef0	0x004CFEF0	0x004CFEF0	0x004D02C5	982	278	1	0	1	unknown	PUSH EBP
saveGameWriteBlocks2	0x004D02D0	.text	ENTRY-POINT	FUN_004d02d0	0x004D02D0	0x004D02D0	0x004D0810	1345	427	0	0	0	unknown	PUSH EBP
saveLoadSelectionPtrToTag	0x004CEE00	.text	ENTRY-POINT	FUN_004cee00	0x004CEE00	0x004CEE00	0x004CEE56	87	35	2	0	2	unknown	PUSH EBX
saveLoadSelectionTagToPtr	0x004CEDA0	.text	ENTRY-POINT	FUN_004ceda0	0x004CEDA0	0x004CEDA0	0x004CEDF9	90	31	3	0	3	unknown	PUSH ESI
activePlayerSelectionWalk0049A2C0	0x0049A2C0	.text	ENTRY-POINT	FUN_0049a2c0	0x0049A2C0	0x0049A2C0	0x0049A310	78	26	1	0	1	unknown	PUSH EBX
activePlayerSelectionWalk004C3B40	0x004C3B40	.text	ENTRY-POINT	FUN_004c3b40	0x004C3B40	0x004C3B40	0x004C3BAE	111	35	5	0	5	unknown	PUSH EBP
activePlayerSelectionUser00499A60	0x00499A60	.text	ENTRY-POINT	FUN_00499a60	0x00499A60	0x00499A60	0x00499BA3	324	106	2	0	2	unknown	PUSH EBP
activePlayerSelectionUser0049B870	0x0049B870	.text	ENTRY-POINT	FUN_0049b870	0x0049B870	0x0049B690	0x0049B8C9	565	182	3	0	3	unknown	PUSH EBP
