function	funcEntry	insAddr	valueHex	valueDec	mnemonic	opKind	role	capRelevant	instruction	note
SortAllUnits	0x0046F0F0	0x0046F109	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EAX,dword ptr [EBP + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F14B	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EBP + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F161	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EDX,dword ptr [ESI + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F169	0xC	12	TEST	mem-operand	struct-or-stack-offset	False	TEST byte ptr [EDX + 0xc],AL	
SortAllUnits	0x0046F0F0	0x0046F206	0xC	12	CMP	immediate	comparison	True	CMP EAX,0xc	SortAllUnits list-full check; JL (SIGNED) at 0x0046F209 -> overflow handler 0x0046F040. GPTP annotates this site as 0x0046F208, which is the address of the 0x0C IMMEDIATE BYTE inside this 3-byte instruction, not of the instruction.
SortAllUnits	0x0046F0F0	0x0046F20C	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EBP + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F217	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EBP + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F252	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EDX,dword ptr [EBP + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F261	0xC	12	RET	immediate	abi-stack-cleanup	False	RET 0xc	
SortAllUnits	0x0046F0F0	0x0046F268	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EDX,dword ptr [EBP + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F277	0xC	12	RET	immediate	abi-stack-cleanup	False	RET 0xc	
SortAllUnits	0x0046F0F0	0x0046F27C	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EDX,dword ptr [EBP + 0xc]	
SortAllUnits	0x0046F0F0	0x0046F289	0xC	12	RET	immediate	abi-stack-cleanup	False	RET 0xc	
selectionOverflowHandler	0x0046F040	0x0046F04D	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EAX + 0xc]	
selectionOverflowHandler	0x0046F040	0x0046F084	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EBP + 0xc]	
selectionOverflowHandler	0x0046F040	0x0046F08C	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EAX + 0xc]	
selectionOverflowHandler	0x0046F040	0x0046F0C2	0xC	12	CMP	mem-operand	struct-or-stack-offset	False	CMP EDX,dword ptr [EBP + 0xc]	
combineSelectionsLists	0x0046F290	0x0046F2AD	0xC	12	CMP	immediate	comparison	True	CMP ESI,0xc	
combineSelectionsLists	0x0046F290	0x0046F2B3	0xC	12	MOV	immediate	loop-bound	True	MOV EAX,0xc	
combineSelectionsLists	0x0046F290	0x0046F2BC	0xC	12	RET	immediate	abi-stack-cleanup	False	RET 0xc	
combineSelectionsLists	0x0046F290	0x0046F304	0xC	12	RET	immediate	abi-stack-cleanup	False	RET 0xc	
combineSelectionsLists	0x0046F290	0x0046F307	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EAX,dword ptr [EBP + 0xc]	
combineSelectionsLists	0x0046F290	0x0046F313	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV dword ptr [EBP + 0xc],0x0	
combineSelectionsLists	0x0046F290	0x0046F33A	0xC	12	CMP	immediate	comparison	True	CMP EDX,0xc	
combineSelectionsLists	0x0046F290	0x0046F345	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EAX,dword ptr [EBP + 0xc]	
combineSelectionsLists	0x0046F290	0x0046F35B	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EAX,dword ptr [EBP + 0xc]	
combineSelectionsLists	0x0046F290	0x0046F363	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV dword ptr [EBP + 0xc],EAX	
combineSelectionsLists	0x0046F290	0x0046F37C	0xC	12	RET	immediate	abi-stack-cleanup	False	RET 0xc	
resolveClickedUnit	0x0046F3A0	0x0046F3AC	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EAX,dword ptr [EBP + 0xc]	
resolveClickedUnit	0x0046F3A0	0x0046F3E8	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EDI,dword ptr [ESI + 0xc]	
resolveClickedUnit	0x0046F3A0	0x0046F3EB	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV CL,byte ptr [EDI + 0xc]	
resolveClickedUnit	0x0046F3A0	0x0046F479	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EAX,dword ptr [EBX + 0xc]	
resolveClickedUnit	0x0046F3A0	0x0046F4D1	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EBX,dword ptr [EBP + 0xc]	
resolveClickedUnit	0x0046F3A0	0x0046F58F	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ESI,dword ptr [ESI + 0xc]	
resolveClickedUnit	0x0046F3A0	0x0046F596	0x12	18	MOVZX	mem-operand	struct-or-stack-offset	False	MOVZX ECX,byte ptr [ESI + 0x12]	Not a selection constant: a struct field read at +0x12.
applyNewSelect	0x0046FA00	0x0046FA24	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EAX,dword ptr [EBP + 0xc]	
unit_IsStandardAndMovable	0x0047B770	0x0047B7E7	0x60	96	CMP	immediate	unrelated-constant	False	CMP AX,0x60	Not a selection constant: a unit-id comparison inside unit_IsStandardAndMovable.
selectSingleUnitFromID	0x00496D30	0x00496D41	0x360	864	IMUL	immediate	index-scale	True	IMUL EDI,EDI,0x360	selectSingleUnitFromID: per-player stride of selection_hotkeys. 864 = 18 groups x 12 slots x 4 bytes -- binary confirmation of the [8][18][12] shape.
selectSingleUnitFromID	0x00496D30	0x00496D61	0x30	48	SUB	immediate	index-scale	True	SUB EDI,0x30	selectSingleUnitFromID: per-group stride, 48 = 12 slots x 4 bytes.
selectSingleUnitFromID	0x00496D30	0x00496E07	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ESI,dword ptr [EDI + 0xc]	
selectMultipleUnitsFromUnitList	0x0049AEF0	0x0049AEF4	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EBX,dword ptr [EBP + 0xc]	
selectMultipleUnitsFromUnitList	0x0049AEF0	0x0049AF30	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EBX,dword ptr [EBP + 0xc]	
CMDACT_Select	0x004C0860	0x004C08AA	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EDI,dword ptr [EBP + 0xc]	
CMDACT_Select	0x004C0860	0x004C08F0	0xC	12	CMP	immediate	comparison	True	CMP EAX,0xc	
CMDACT_Select	0x004C0860	0x004C0915	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [ESI + 0xc]	
CMDACT_Select	0x004C0860	0x004C0918	0xC	12	TEST	mem-operand	struct-or-stack-offset	False	TEST byte ptr [ECX + 0xc],AL	
CMDACT_Select	0x004C0860	0x004C0951	0xB	11	SHL	immediate	unit-tag-shift	False	SHL EAX,0xb	
CMDACT_Select	0x004C0860	0x004C0976	0xC	12	MOV	immediate	loop-bound	True	MOV EBX,0xc	
CMDACT_Select	0x004C0860	0x004C0990	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EBP + 0xc]	
CMDACT_Select	0x004C0860	0x004C09A8	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV ECX,dword ptr [EBP + 0xc]	
CMDACT_Select	0x004C0860	0x004C09DE	0xB	11	SHL	immediate	unit-tag-shift	False	SHL EAX,0xb	
CMDACT_Select	0x004C0860	0x004C09F8	0xC	12	MOV	mem-operand	struct-or-stack-offset	False	MOV EBX,dword ptr [EBP + 0xc]	
CMDACT_Select	0x004C0860	0x004C09FD	0xC	12	MOV	immediate	loop-bound	True	MOV ECX,0xc	
CMDACT_Select	0x004C0860	0x004C0A5D	0xB	11	SHL	immediate	unit-tag-shift	False	SHL EAX,0xb	
CMDACT_Select	0x004C0860	0x004C0A9B	0xB	11	MOV	immediate	command-id	False	MOV byte ptr [EBP + -0x40],0xb	Not a selection bound: this is the wire command id 0x0B (SelectRemove/ShiftDeselect) being written into the outgoing command buffer. selection-cap.md §4.3 notes 0x0B rested on screp alone; the binary confirms it.
