global	insAddr	funcEntry	refType	elemIndices	elemCount	firstTarget	instruction	discovery
clientSelectionChanged	0x004583B3	0x00458220	WRITE	0	1	0x0059723C	MOV byte ptr [0x0059723c],BL	ghidra-ref
clientSelectionChanged	0x0045D09B	0x0045D040	WRITE	0	1	0x0059723C	MOV [0x0059723c],AL	ghidra-ref
clientSelectionChanged	0x0046FC03	0x0046FB40	WRITE	0	1	0x0059723C	MOV byte ptr [0x0059723c],0x1	ghidra-ref
clientSelectionChanged	0x0046FDE3	0x0046FB40	WRITE	0	1	0x0059723C	MOV byte ptr [0x0059723c],0x1	ghidra-ref
clientSelectionChanged	0x00496CEE	0x00496B40	WRITE	0	1	0x0059723C	MOV byte ptr [0x0059723c],0x1	ghidra-ref
clientSelectionChanged	0x0049AF5C	0x0049AEF0	WRITE	0	1	0x0059723C	MOV [0x0059723c],AL	ghidra-ref
clientSelectionChanged	0x0049F80E	0x0049F7A0	WRITE	0	1	0x0059723C	MOV [0x0059723c],AL	ghidra-ref
clientSelectionChanged	0x004C3756		UNCLASSIFIED	0	1	0x0059723C	?? 3Ch    <	raw-dword-only
clientSelectionChanged	0x004C3931		UNCLASSIFIED	0	1	0x0059723C	?? 3Ch    <	raw-dword-only
clientSelectionChanged	0x004C3940		UNCLASSIFIED	0	1	0x0059723C	?? 3Ch    <	raw-dword-only
clientSelectionChanged	0x004C3B11		UNCLASSIFIED	0	1	0x0059723C	?? 3Ch    <	raw-dword-only
clientSelectionChanged	0x004C3B20		UNCLASSIFIED	0	1	0x0059723C	?? 3Ch    <	raw-dword-only
clientSelectionChanged	0x004C3B82	0x004C3B40	WRITE	0	1	0x0059723C	MOV [0x0059723c],AL	ghidra-ref
clientSelectionChanged	0x004D08DD	0x004D0820	WRITE	0	1	0x0059723C	MOV byte ptr [0x0059723c],0x1	ghidra-ref
clientSelectionChanged	0x004D93F0	0x004D93F0	READ	0	1	0x0059723C	MOV AL,[0x0059723c]	ghidra-ref
clientSelectionChanged	0x004D93FE	0x004D93F0	WRITE	0	1	0x0059723C	MOV byte ptr [0x0059723c],0x0	ghidra-ref
end_clientSelectionGroup2	0x004C080F	0x004C07B0	READ	0	1	0x0059727C	MOV ESI,dword ptr [0x0059727c]	ghidra-ref
end_clientSelectionGroup2	0x004C083E	0x004C07B0	WRITE	0	1	0x0059727C	MOV [0x0059727c],EAX	ghidra-ref
end_playersSelections	0x004966DF	0x004965D0	DATA	0	1	0x00628668	MOV dword ptr [EBP + -0x10],EBX	ghidra-ref
