global	insAddr	funcEntry	refType	elemIndices	elemCount	firstTarget	instruction	discovery
activePlayerSelection	0x0045D04D	0x0045D040	DATA	0	1	0x006284B8	MOV ESI,0x6284b8	ghidra-ref
activePlayerSelection	0x0045D055	0x0045D040	READ	0,1	2	0x006284B8	MOVSD.REP ES:EDI,ESI	ghidra-ref
activePlayerSelection	0x0046FA97	0x0046FA40	READ	0	1	0x006284B8	MOV EAX,[0x006284b8]	ghidra-ref
activePlayerSelection	0x0046FAA7	0x0046FA40	DATA	0	1	0x006284B8	MOV ESI,0x6284b8	ghidra-ref
activePlayerSelection	0x0046FAB3	0x0046FA40	READ	0,1	2	0x006284B8	MOVSD.REP ES:EDI,ESI	ghidra-ref
activePlayerSelection	0x0046FBAA	0x0046FB40	READ	0	1	0x006284B8	MOV EAX,[0x006284b8]	ghidra-ref
activePlayerSelection	0x0046FC95	0x0046FB40	DATA	0	1	0x006284B8	MOV ESI,0x6284b8	ghidra-ref
activePlayerSelection	0x0046FCA0	0x0046FB40	READ	0,1	2	0x006284B8	MOVSD.REP ES:EDI,ESI	ghidra-ref
activePlayerSelection	0x0046FCF6	0x0046FB40	DATA	0	1	0x006284B8	MOV ECX,0x6284b8	ghidra-ref
activePlayerSelection	0x0046FCFD	0x0046FB40	DATA	0	1	0x006284B8	LEA ECX,[ECX]	ghidra-ref
activePlayerSelection	0x0046FD00	0x0046FB40	READ	0,1	2	0x006284B8	MOV EAX,dword ptr [ECX]	ghidra-ref
activePlayerSelection	0x00499A70	0x00499A60	READ	0,1	2	0x006284B8	MOV ESI,dword ptr [EBX*0x4 + 0x6284b8]	ghidra-ref
activePlayerSelection	0x00499A98	0x00499A60	WRITE	0	1	0x006284B8	MOV dword ptr [ECX*0x4 + 0x6284b8],EDX	ghidra-ref
activePlayerSelection	0x0049A2C6	0x0049A2C0	DATA	0	1	0x006284B8	MOV EDX,0x6284b8	ghidra-ref
activePlayerSelection	0x0049A2D0	0x0049A2C0	READ	0,1	2	0x006284B8	MOV ECX,dword ptr [EDX]	ghidra-ref
activePlayerSelection	0x0049A328	0x0049A320	DATA	0	1	0x006284B8	MOV EDI,0x6284b8	ghidra-ref
activePlayerSelection	0x0049A32D	0x0049A320	WRITE	0,1	2	0x006284B8	STOSD.REP ES:EDI	ghidra-ref
activePlayerSelection	0x0049AE48	0x0049AE40	DATA	0	1	0x006284B8	MOV ESI,0x6284b8	ghidra-ref
activePlayerSelection	0x0049AE50	0x0049AE40	READ	0,1	2	0x006284B8	MOV EAX,dword ptr [ESI]	ghidra-ref
activePlayerSelection	0x0049AE56	0x0049AE40	WRITE	0,1	2	0x006284B8	MOV dword ptr [ESI],0x0	ghidra-ref
activePlayerSelection	0x0049AE92	0x0049AE40	WRITE	0,1	2	0x006284B8	MOV dword ptr [EBX*0x4 + 0x6284b8],ESI	ghidra-ref
activePlayerSelection	0x0049AEB6	0x0049AE40	WRITE	0	1	0x006284B8	MOV dword ptr [EAX*0x4 + 0x6284b8],ECX	ghidra-ref
activePlayerSelection	0x0049AEC6	0x0049AE40	READ	0,1	2	0x006284B8	MOV EDX,dword ptr [EBX*0x4 + 0x6284b8]	ghidra-ref
activePlayerSelection	0x0049B6A0	0x0049B870	READ	0,1	2	0x006284B8	MOV ESI,dword ptr [EBX*0x4 + 0x6284b8]	ghidra-ref
activePlayerSelection	0x0049B6F7	0x0049B870	WRITE	0	1	0x006284B8	MOV dword ptr [EAX*0x4 + 0x6284b8],ECX	ghidra-ref
activePlayerSelection	0x0049F7C0	0x0049F7A0	READ	0,1	2	0x006284B8	MOV ECX,dword ptr [EBX*0x4 + 0x6284b8]	ghidra-ref
activePlayerSelection	0x0049F7D3	0x0049F7A0	DATA	0	1	0x006284B8	MOV ESI,0x6284b8	ghidra-ref
activePlayerSelection	0x0049F7DB	0x0049F7A0	READ	0,1	2	0x006284B8	MOVSD.REP ES:EDI,ESI	ghidra-ref
activePlayerSelection	0x004C38B8	0x004C38B0	DATA	0	1	0x006284B8	MOV ESI,0x6284b8	ghidra-ref
activePlayerSelection	0x004C38C2	0x004C38B0	READ	0,1	2	0x006284B8	MOVSD.REP ES:EDI,ESI	ghidra-ref
activePlayerSelection	0x004C3B49	0x004C3B40	DATA	0	1	0x006284B8	MOV ECX,0x6284b8	ghidra-ref
activePlayerSelection	0x004C3B50	0x004C3B40	READ	0,1	2	0x006284B8	MOV EAX,dword ptr [ECX]	ghidra-ref
activePlayerSelection	0x004D603C	0x004D6010	DATA	0	1	0x006284B8	MOV EDI,dword ptr [ECX*0x4 + 0x6284b8]	ghidra-ref
activePlayerSelection	0x004E627D	0x004E6260	DATA	0	1	0x006284B8	MOV dword ptr [ECX*0x4 + 0x6284b8],EDX	ghidra-ref
activePlayerSelection	0x004EED18	0x004EED10	DATA	0	1	0x006284B8	MOV EDI,0x6284b8	ghidra-ref
activePlayerSelection	0x004EED1D	0x004EED10	WRITE	0,1	2	0x006284B8	STOSD.REP ES:EDI	ghidra-ref
clientSelectionCount	0x004283F3	0x004283F0	READ	0	1	0x0059723D	MOV CL,byte ptr [0x0059723d]	ghidra-ref
clientSelectionCount	0x00428965	0x00428960	READ	0	1	0x0059723D	CMP byte ptr [0x0059723d],0x1	ghidra-ref
clientSelectionCount	0x00428993	0x00428990	READ	0	1	0x0059723D	CMP byte ptr [0x0059723d],0x1	ghidra-ref
clientSelectionCount	0x00428A13	0x00428A10	READ	0	1	0x0059723D	CMP byte ptr [0x0059723d],0x1	ghidra-ref
clientSelectionCount	0x00428AD3	0x00428AD0	READ	0	1	0x0059723D	CMP byte ptr [0x0059723d],0x1	ghidra-ref
clientSelectionCount	0x00428B83	0x00428B80	READ	0	1	0x0059723D	CMP byte ptr [0x0059723d],0x1	ghidra-ref
