field	addr	function	funcEntry	mnemonic	opIndex	baseReg	access	text
0xC6	0x00426561	FUN_00426500	0x00426500	MOVZX	1	ESI	r	MOVZX EDX,word ptr [ESI + 0xc6]
0xC6	0x00426751	FUN_004266f0	0x004266F0	MOVZX	1	EAX	r	MOVZX EDX,word ptr [EAX + 0xc6]
0xC6	0x00453E1F	FUN_00453dd0	0x00453DD0	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],0x0
0xC6	0x00453EA5	FUN_00453e30	0x00453E30	MOV	0	EDX	w	MOV word ptr [EDX + 0xc6],0x0
0xC6	0x0045426F	FUN_00454220	0x00454220	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],AX
0xC6	0x004542E0	FUN_00454280	0x00454280	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],0x0
0xC6	0x004546CC	FUN_004546a0	0x004546A0	MOV	1	ESI	r	MOV AX,word ptr [ESI + 0xc6]
0xC6	0x004546D9	FUN_004546a0	0x004546A0	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],DI
0xC6	0x004548D0	FUN_004548b0	0x004548B0	MOV	1	ESI	r	MOV CX,word ptr [ESI + 0xc6]
0xC6	0x004548DF	FUN_004548b0	0x004548B0	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],DX
0xC6	0x00454ABD	FUN_00454a80	0x00454A80	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],AX
0xC6	0x00454C08	FUN_00454b70	0x00454B70	MOV	0	EDX	w	MOV word ptr [EDX + 0xc6],AX
0xC6	0x004692F5	FUN_00469240	0x00469240	CMP	0	ESI	r	CMP word ptr [ESI + 0xc6],DI
0xC6	0x0046931C	FUN_00469240	0x00469240	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],DI
0xC6	0x004693FA	FUN_00469240	0x00469240	MOV	0	ESI	w	MOV word ptr [ESI + 0xc6],AX
0xC8	0x004247A5	FUN_00424780	0x00424780	MOV	1	ESI	r	MOV BL,byte ptr [ESI + 0xc8]
0xC8	0x004247D0	FUN_00424780	0x00424780	MOV	1	ESI	r	MOV CL,byte ptr [ESI + 0xc8]
0xC8	0x00424910	FUN_004248f0	0x004248F0	ADD	1	EAX	r	ADD CL,byte ptr [EAX + 0xc8]
0xC8	0x00424924	FUN_004248f0	0x004248F0	MOV	1	EAX	r	MOV CL,byte ptr [EAX + 0xc8]
0xC8	0x004253EC	FUN_004253d0	0x004253D0	MOV	1	EDX	r	MOV CL,byte ptr [EDX + 0xc8]
0xC8	0x00425406	FUN_004253d0	0x004253D0	ADD	1	EDX	r	ADD CL,byte ptr [EDX + 0xc8]
0xC8	0x00425C05	FUN_00425b50	0x00425B50	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x00426742	FUN_004266f0	0x004266F0	MOVZX	1	EAX	r	MOVZX EDX,byte ptr [EAX + 0xc8]
0xC8	0x004267A9	FUN_004266f0	0x004266F0	MOVZX	1	ECX	r	MOVZX EDX,byte ptr [ECX + 0xc8]
0xC8	0x004267C2	FUN_004266f0	0x004266F0	MOVZX	1	ECX	r	MOVZX CX,byte ptr [ECX + 0xc8]
0xC8	0x004287EB	FUN_004287d0	0x004287D0	CMP	0	ESI	r	CMP byte ptr [ESI + 0xc8],0x2c
0xC8	0x004288E6	FUN_004288e0	0x004288E0	MOV	1	ECX	r	MOV DL,byte ptr [ECX + 0xc8]
0xC8	0x0043257C	FUN_00432530	0x00432530	MOVZX	1	EAX	r	MOVZX ECX,byte ptr [EAX + 0xc8]
0xC8	0x00433E42	FUN_00433dd0	0x00433DD0	MOV	0	EBX	w	MOV dword ptr [EBX + 0xc8],ESI
0xC8	0x00435295	FUN_00435210	0x00435210	MOV	1	EBX	r	MOV ECX,dword ptr [EBX + 0xc8]
0xC8	0x0043E46F	FUN_0043e400	0x0043E400	ADD	1	ESI	r	ADD AL,byte ptr [ESI + 0xc8]
0xC8	0x0043F6FB	FUN_0043f320	0x0043F320	ADD	1	EBX	r	ADD AL,byte ptr [EBX + 0xc8]
0xC8	0x00453DD2	FUN_00453dd0	0x00453DD0	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc8]
0xC8	0x00453DE5	FUN_00453dd0	0x00453DD0	MOVZX	1	ESI	r	MOVZX ECX,byte ptr [ESI + 0xc8]
0xC8	0x00453E18	FUN_00453dd0	0x00453DD0	MOV	0	ESI	w	MOV byte ptr [ESI + 0xc8],0x2c
0xC8	0x00453E30	FUN_00453e30	0x00453E30	MOV	1	EDX	r	MOV CL,byte ptr [EDX + 0xc8]
0xC8	0x00453E68	FUN_00453e30	0x00453E30	MOVZX	1	EDX	r	MOVZX ECX,byte ptr [EDX + 0xc8]
0xC8	0x00453E9E	FUN_00453e30	0x00453E30	MOV	0	EDX	w	MOV byte ptr [EDX + 0xc8],0x2c
0xC8	0x004548BA	FUN_004548b0	0x004548B0	MOV	1	ESI	r	MOV AL,byte ptr [ESI + 0xc8]
0xC8	0x00454928	FUN_004548b0	0x004548B0	MOVZX	1	ESI	r	MOVZX CX,byte ptr [ESI + 0xc8]
0xC8	0x004549A0	FUN_004548b0	0x004548B0	MOVZX	1	ESI	r	MOVZX ECX,byte ptr [ESI + 0xc8]
